T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.65536,9.9999999960687e-06,0.65536,5.905511808701989e-05,0.0
40,0.0,0.0,9.9999999960687e-06,0.65537,5.905511808701989e-05,3.8702952755905513
60,0.65536,0.0,0.0,0.65537,3.8702362204724414,3.8702952755905513
80,-1.31075,1.0000000003174e-05,-5.24295,-0.65534,-38.70295275590552,-3.8700590551180913
100,-3.27686,-0.65535,-3.27685,1.31076,-38.70301181102363,3.8705314960629913
120,-3.93221,1.96612,-3.93221,2.62149,-46.44342519685039,27.09218503937008
140,-3.27685,1.96611,-3.93221,1.96612,-42.573188976377956,23.221830708661418
160,-3.27685,1.31075,-3.27684,1.96612,-38.7028937007874,19.35159448818898
180,-3.27685,1.31074,-3.93221,1.31075,-42.573188976377956,15.481240157480316
200,-3.27685,0.65538,-3.27684,0.65539,-38.7028937007874,7.740767716535434
220,-2.62149,0.65538,-3.27685,1.31075,-34.83271653543307,11.611003937007874
240,-3.27685,1.9999999999243e-05,-3.27685,0.65538,-38.702952755905514,3.8704724409448774
260,-3.93221,0.65538,-3.93221,0.65539,-46.44342519685039,7.740767716535434
280,-3.93221,1.0000000003174e-05,-4.58756,1.0000000003174e-05,-50.31360236220472,0.00011811023625796063
300,-4.58757,1.0000000003174e-05,-4.58756,1.0000000003174e-05,-54.18383858267716,0.00011811023625796063
320,-4.58756,-0.65535,-5.24292,1.0000000003174e-05,-58.054015748031496,-3.8701181102362017
340,-4.58756,-0.65535,-5.24292,1.9999999999243e-05,-58.054015748031496,-3.870059055118115
360,-4.58756,-0.65535,-4.58756,-0.65535,-54.183779527559054,-7.740354330708661
380,-4.58756,-1.31072,-4.58757,1.0000000003174e-05,-54.18383858267716,-7.740413385826754
400,-3.93221,-0.65535,-3.93222,-0.65535,-46.443484251968506,-7.740354330708661
420,-3.93222,-0.65535,-3.93222,1.0000000003174e-05,-46.443543307086614,-3.8701181102362017
440,-3.93223,-0.65536,-3.93222,1.0000000003174e-05,-46.44360236220472,-3.8701771653543116
460,-3.93223,-0.65536,-3.93222,-1.31071,-46.44360236220472,-11.610649606299212
480,-3.93223,-1.31072,-3.93222,-1.31072,-46.44360236220472,-15.480944881889766
500,-3.27687,-1.31072,-3.93223,-1.31072,-42.573425196850394,-15.480944881889766
520,-3.27687,-1.31072,-3.93223,-0.65535,-42.573425196850394,-11.610649606299212
540,-3.93223,-0.65536,-3.93223,-0.65535,-46.443661417322836,-7.7404133858267725
560,-3.93223,-1.31072,-3.93223,-0.65535,-46.443661417322836,-11.610649606299212
580,-3.93223,-0.65536,-3.93223,-0.65535,-46.443661417322836,-7.7404133858267725
600,-3.93224,-1.31072,-3.93223,-1.31071,-46.443720472440944,-15.480885826771654
620,-3.93224,-1.96609,-3.93223,-1.31072,-46.443720472440944,-19.351240157480316
640,-3.93223,-1.31072,-3.93223,-1.96608,-46.443661417322836,-19.351181102362204
660,-3.27688,-1.96609,-3.27687,-1.96609,-38.70324803149607,-23.221535433070866
680,-3.27688,-2.62145,-3.27687,-1.96609,-38.70324803149607,-27.091771653543308
700,-3.27687,-2.62146,-3.27687,-2.62146,-38.70318897637796,-30.96212598425197
720,-2.62151,-3.27683,-2.62151,-3.93218,-30.96271653543307,-42.572893700787404
740,-2.62151,-3.27683,-2.62151,-3.27682,-30.96271653543307,-38.70265748031496
760,-2.62151,-3.93219,-2.62151,-3.93219,-30.96271653543307,-46.443188976377954
780,-2.62151,-4.58755,-2.62151,-3.93219,-30.96271653543307,-50.313425196850396
800,-2.62151,-3.93219,-3.27687,-3.27682,-34.83295275590552,-42.572893700787404
820,-2.62151,-3.93219,-2.62151,-2.62145,-30.96271653543307,-38.70259842519685
840,-2.62151,-1.96609,-3.27686,-1.31072,-34.8328937007874,-19.351240157480316
860,-3.27687,-1.31072,-2.62149,1.96611,-34.832834645669294,3.8704133858267706
880,3.27684,6.55368,3.93224,10.48589,42.57330708661418,100.62738188976377
900,3.27687,14.41808,2.62151,17.69493,34.83295275590552,189.6437598425197
920,2.6215,20.31639,1.96615,22.93785,27.09242125984252,255.43842519685043
940,1.96615,22.93786,1.96615,22.93786,23.22224409448819,270.9196062992126
960,1.96615,22.28249,1.96616,22.28249,23.2223031496063,263.1790157480315
980,1.96616,20.97175,1.96616,20.97176,23.22236220472441,247.69789370078743
1000,1.3108,20.31639,1.3108,20.31639,15.481889763779527,239.9573622047244
1020,1.96616,19.66102,1.96616,19.66102,23.22236220472441,232.21677165354333
1040,2.62152,19.00564,5.24299,18.35028,46.44395669291339,220.60582677165354
1060,9.83058,18.35027,10.48596,19.00564,119.97956692913387,220.60576771653544
1080,9.83058,19.661,9.83059,20.31637,116.1092716535433,236.08683070866144
1100,10.48595,19.00564,10.48595,19.00564,123.84980314960632,224.47606299212597
1120,11.14131,17.69491,10.48595,17.6949,127.72003937007874,208.99494094488188
1140,10.48595,17.03953,10.48595,16.38417,123.84980314960632,197.3840551181102
1160,10.48595,15.72879,10.48595,15.7288,123.84980314960632,185.77316929133858
1180,10.48595,15.07342,10.48595,15.07342,123.84980314960632,178.03251968503938
1200,11.14131,13.76269,10.48596,13.76269,127.72009842519685,162.55145669291338
1220,10.48595,13.10732,18.35037,14.41806,170.29322834645671,162.55145669291338
1240,31.45777,15.07341,39.32226,16.38415,417.9923031496063,185.77299212598427
1260,39.32227,17.03951,38.6669,17.69488,460.56596456692915,205.1243503937008
1280,39.32225,17.03951,39.32226,16.38415,464.43608267716536,197.38381889763778
1300,39.97762,15.07341,39.97761,13.76267,472.17655511811023,170.29181102362205
1320,40.63297,12.45194,40.63298,12.45194,479.91702755905516,147.07015748031498
1340,40.63298,11.79656,40.63298,11.79657,479.9170866141733,139.32950787401575
1360,40.63297,10.48583,40.63298,11.1412,479.91702755905516,127.71868110236221
1380,41.28833,11.14119,40.63298,11.1412,483.7872637795276,131.58891732283465
1400,40.63298,10.48583,40.63298,10.48583,479.9170866141733,123.84838582677166
1420,40.63298,9.1751,40.63298,9.1751,479.9170866141733,108.36732283464568
1440,49.80815,9.1751,61.60484,10.48583,657.9507283464567,116.10785433070866
1460,64.22636,11.79657,62.91562,13.76268,750.8384645669291,150.9404527559055
1480,62.26023,14.41805,62.26025,15.72878,735.3571653543307,178.03246062992127
1500,62.26024,15.72877,62.26024,15.72879,735.3571653543307,185.77299212598427
1520,62.9156,15.72878,62.26025,15.72879,739.2274606299212,185.77305118110237
1540,61.60488,15.72878,62.26024,15.72879,731.4869291338583,185.77305118110237
