T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65537,0.65535,0.65536,7.7404133858267725,-5.905511810996746e-05
40,0.65536,-1.31074,0.0,-0.65537,3.8702362204724414,-11.610885826771653
60,0.65536,-1.31074,0.65535,-0.65537,7.7404133858267725,-11.610885826771653
80,0.65535,-1.9661,0.65535,-1.31073,7.740354330708661,-19.351358267716535
100,0.65535,-1.96609,0.65534,-1.9661,7.740295275590552,-23.221594488188977
120,0.65534,-3.27682,0.65532,-1.96611,7.74011811023622,-30.96218503937008
140,-2.9999999995312e-05,-3.27683,-3.9999999998486e-05,-1.96611,-0.0004133858267350276,-30.962244094488188
160,-0.6554,-2.62147,-0.6554,-1.31074,-7.740944881889764,-23.221712598425196
180,-5.000000000166e-05,-2.62147,-0.6554,-1.31074,-3.870767716535443,-23.221712598425196
200,-3.9999999998486e-05,-1.9661,-0.6554,-1.31073,-3.8707086614173134,-19.351358267716535
220,-0.65539,-1.9661,-0.6554,-1.31073,-7.740885826771653,-19.351358267716535
240,1.31072,-0.65535000000001,1.96611,1.31076,19.351358267716538,3.8705314960629327
260,1.31076,0.65539,1.31075,1.96612,15.481358267716535,15.481358267716535
280,1.31076,1.31076,0.6554,2.62148,11.611181102362204,23.22188976377953
300,0.65541,1.96612,0.65541,2.62149,7.741062992125985,27.09218503937008
320,0.65541,1.96613,0.65541,3.27685,7.741062992125985,30.962480314960633
340,0.65541,1.96613,0.65541,3.27686,7.741062992125985,30.96253937007874
360,0.65541,1.96614,3.9999999998486e-05,3.27686,3.8707677165354237,30.962598425196852
380,0.65541,2.6215,3.9999999998486e-05,3.27686,3.8707677165354237,34.832834645669294
400,5.000000000166e-05,2.6215,5.000000000166e-05,3.93223,0.0005905511811219685,38.703129921259844
420,6.0000000004834e-05,3.27687,-0.65531,3.93223,-3.869586614173199,42.573425196850394
440,6.0000000004834e-05,3.27687,-0.6553,3.93223,-3.8695275590550895,42.573425196850394
460,6.0000000004834e-05,3.27687,-0.6553,3.93223,-3.8695275590550895,42.573425196850394
480,-0.6553,3.27687,-0.6553,4.58759,-7.739763779527559,46.443661417322836
500,-0.6553,3.27687,-0.6553,3.93223,-7.739763779527559,42.573425196850394
520,-0.6553,3.27687,-1.31066,3.93223,-11.61,42.573425196850394
540,-0.6553,3.27687,-0.6553,4.58759,-7.739763779527559,46.443661417322836
560,-0.6553,3.27687,-1.31066,4.58759,-11.61,46.443661417322836
580,-0.65529,3.27686,-0.65529,4.58759,-7.739645669291339,46.44360236220472
600,-0.65529,3.93222,-1.31065,4.58759,-11.60988188976378,50.313838582677164
620,-1.31065,3.27687,-1.31065,3.93223,-15.480118110236223,42.573425196850394
640,-1.31065,3.27687,-1.31066,3.93223,-15.48017716535433,42.573425196850394
660,-1.31065,3.27687,-1.31065,3.93223,-15.480118110236223,42.573425196850394
680,-1.31065,3.27687,-1.31065,4.58759,-15.480118110236223,46.443661417322836
700,-1.31065,3.93223,-1.31065,4.58759,-15.480118110236223,50.31389763779527
720,-1.31064,3.93223,-1.31065,4.58759,-15.480059055118112,50.31389763779527
740,-1.31064,3.93223,-1.966,4.5876,-19.350236220472443,50.31395669291339
760,-1.966,3.93223,-1.966,4.5876,-23.22047244094488,50.31395669291339
780,-1.966,3.93223,-1.966,4.5876,-23.22047244094488,50.31395669291339
800,-1.96599,3.93223,-2.62136,5.24295,-27.090649606299213,54.18413385826772
820,-1.96599,3.93224,-2.62135,5.24296,-27.090590551181105,54.18425196850394
840,-2.62135,4.5876,-2.62135,5.24296,-30.960826771653544,58.05448818897638
860,-2.62135,4.58759,-2.62135,5.89832,-30.960826771653544,61.92466535433071
880,-2.62135,4.58759,-3.2767,5.24296,-34.83100393700787,58.054429133858264
900,-2.62134,4.58759,-2.62135,5.24296,-30.960767716535432,58.054429133858264
920,-2.62135,4.5876,-2.62135,5.89832,-30.960826771653544,61.92472440944882
940,-2.62135,5.24295,-2.62135,5.89832,-30.960826771653544,65.79490157480315
960,-2.62135,5.24296,-2.62136,5.89832,-30.96088582677166,65.79496062992126
980,-2.62135,5.89832,-3.27672,5.89832,-34.8311220472441,69.6651968503937
1000,-2.62136,5.24296,-2.62136,6.55368,-30.960944881889766,69.6651968503937
1020,-2.62135,5.89832,-1.966,7.20905,-27.090649606299213,77.4057283464567
1040,1.31087,7.20907,0.65552,7.86443,11.612539370078741,89.01673228346456
1060,0.65551,7.20906,0.65551,7.86443,7.74224409448819,89.01667322834646
1080,0.65552,7.86442,0.000160000000001,8.51978,3.8721259842519746,96.75708661417323
1100,0.000160000000001,7.86442,0.0001499999999978,8.51979,0.0018307086614102364,96.75714566929133
1120,0.000160000000001,7.20906,0.0001499999999978,8.51978,0.0018307086614102364,92.8868503937008
1140,0.000160000000001,7.20906,-0.6552,7.86443,-3.8683464566929073,89.01667322834646
1160,0.000160000000001,7.20906,0.000160000000001,8.51979,0.0018897637795393702,92.88690944881891
1180,0.000160000000001,7.20906,0.000160000000001,7.86442,0.0018897637795393702,89.01661417322835
1200,0.000160000000001,7.20906,0.000160000000001,7.86443,0.0018897637795393702,89.01667322834646
1220,0.000160000000001,7.20905,-0.65521,7.86442,-3.8684055118110168,89.01655511811025
1240,0.000160000000001,7.20906,0.65552,7.86442,3.8721259842519746,89.01661417322835
1260,3.27702,7.20904,3.93242,7.20903,42.57543307086614,85.14608267716535
1280,3.93243,7.20903,3.27706,7.86439,42.57572834645669,89.01625984251969
1300,3.93243,7.20903,3.93243,8.51976,46.44602362204725,92.88655511811024
1320,3.93243,7.86439,3.93243,7.86439,46.44602362204725,92.88649606299214
1340,3.93243,7.20903,3.93243,7.8644,46.44602362204725,89.0163188976378
1360,4.58779,7.20903,3.93243,8.51976,50.316259842519685,92.88655511811024
1380,4.58779,7.20903,4.58779,8.51975,54.18649606299213,92.88649606299214
1400,4.58779,7.20903,4.58779,7.86439,54.18649606299213,89.01625984251969
1420,4.58779,7.20903,0.0001699999999971,5.24294,27.094251968503922,73.5352559055118
1440,-2.62133,4.58757,-2.62132,5.89831,-30.960531496062995,61.92448818897639
1460,-1.96594,5.24294,-1.96594,6.55367,-23.21976377952756,69.66501968503938
1480,-1.96594,5.8983,-2.6213,6.55366,-27.090000000000003,73.5351968503937
1500,-1.96594,5.8983,-1.96594,6.55367,-23.21976377952756,73.5352559055118
1520,-1.31058,5.8983,-1.96595,6.55367,-19.34958661417323,73.5352559055118
1540,-1.31059,5.8983,-1.96595,6.55367,-19.349645669291338,73.5352559055118
1560,-1.3106,5.89831,-1.96596,6.55367,-19.34976377952756,73.53531496062993
1580,-1.96596,5.89831,-1.96596,6.55368,-23.22,73.53537401574803
1600,-1.96596,5.89831,-2.62133,6.55367,-27.090295275590552,73.53531496062993
1620,-2.62133,5.89831,-1.31058,7.20905,-23.219940944881888,77.40566929133858
1640,-0.6552,5.89832,-1.31057,7.20905,-11.608877952755906,77.4057283464567
1660,-1.31056,5.89832,-1.31056,6.55369,-15.479055118110235,73.53549212598425
1680,-1.31056,5.89833,-1.31056,7.20905,-15.479055118110235,77.4057874015748
1700,-0.6552,6.55369,-1.31057,7.20905,-11.608877952755906,81.27602362204725
1720,-1.31056,5.89833,-1.31056,6.55369,-15.479055118110235,73.53555118110236
1740,-0.6552,5.89833,-1.31056,7.20905,-11.608818897637795,77.4057874015748
1760,-1.31056,5.89833,-1.31056,6.55369,-15.479055118110235,73.53555118110236
1780,1.9663,6.55368,3.27711,7.8644,30.96501968503937,85.14614173228347
1800,3.27712,7.20903,3.27712,8.51977,38.70614173228346,92.88661417322835
1820,3.27713,9.17513,2.62177,11.14123,34.83602362204725,119.97850393700787
1840,3.27714,10.48587,3.27713,11.79659,38.7063188976378,131.58933070866144
1860,3.27714,10.48587,3.27714,11.7966,38.70637795275591,131.58938976377954
1880,3.9325,11.14123,3.9325,11.7966,46.44685039370079,135.45962598425197
1900,3.9325,11.14124,3.9325,11.7966,46.44685039370079,135.4596850393701
1920,3.93251,11.14123,3.9325,12.45196,46.4469094488189,139.3298622047244
1940,3.93251,11.14123,3.93251,12.45195,46.44696850393701,139.3298031496063
