T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,0.0,-0.65537,0.0,-7.740531496062992,0.0
40,-0.65536,0.0,-0.65536,0.0,-7.740472440944883,0.0
60,-0.65536,-0.65536,-9.9999999960687e-06,0.0,-3.8702952755905278,-3.8702362204724414
80,-0.65537,-0.65536,-0.65537,-0.65535999999999,-7.740590551181103,-7.740472440944823
100,-0.65536,-0.65536,-0.65538,0.0,-7.740590551181103,-3.8702362204724414
120,-1.31073,-0.65536,-1.31074,1.0000000003174e-05,-15.481122047244094,-3.8701771653543116
140,-1.31073,0.0,-1.31074,1.0000000003174e-05,-15.481122047244094,5.9055118128980315e-05
160,-1.9661,-0.65536,-1.96611,1.0000000003174e-05,-23.221712598425196,-3.8701771653543116
180,-2.62146,-0.65536,-2.62147,1.0000000003174e-05,-30.96218503937008,-3.8701771653543116
200,-2.62146,-0.65536,-2.62147,1.0000000003174e-05,-30.96218503937008,-3.8701771653543116
220,-2.62146,-0.65535000000001,-2.62146,-0.65535,-30.96212598425197,-7.740354330708721
240,-1.9661,-0.65536,-1.31074,-0.65535,-19.351417322834646,-7.7404133858267725
260,-1.31074,-1.31071,-1.96611,-0.65535,-19.351476377952757,-11.610590551181103
280,-1.9661,-1.31072,-1.96611,-0.65534,-23.221712598425196,-11.610590551181103
300,-2.62147,-1.31071,-2.62148,-0.65534,-30.962303149606303,-11.610531496062993
320,-3.27684,-0.65535000000001,-2.62149,-0.65534,-34.83265748031496,-7.74029527559061
340,-2.62148,-1.31071,-3.27685,-0.65534,-34.83265748031496,-11.610531496062993
360,-2.62148,-1.3107,-3.27685,-0.65534,-34.83265748031496,-11.610472440944882
380,-2.62148,-1.31071,-2.62148,-0.65534,-30.96236220472441,-11.610531496062993
400,-2.62148,-0.65535000000001,-2.62149,2.0000000006348e-05,-30.962421259842518,-3.8700590551181318
420,-2.62149,-1.31071,-1.96614,-0.65535,-27.0923031496063,-11.610590551181103
440,-2.6215,-0.65536,-3.27687,1.0000000003174e-05,-34.8328937007874,-3.8701771653543116
460,-3.27687,-0.65535000000001,-3.27688,1.0000000003174e-05,-38.70324803149607,-3.8701181102362607
480,-3.27687,9.9999999960687e-06,-3.27688,1.0000000003174e-05,-38.70324803149607,0.0001181102362160002
500,-3.27688,-0.65536,-3.27688,1.0000000003174e-05,-38.703307086614174,-3.8701771653543116
520,-3.27688,0.0,-3.27689,1.0000000003174e-05,-38.70336614173228,5.9055118128980315e-05
540,-3.27687,0.0,-3.27688,0.65536,-38.70324803149607,3.8702362204724414
560,-3.27688,0.0,-3.27689,0.65536,-38.70336614173228,3.8702362204724414
580,-3.27688,-1.0000000003174e-05,7.20895,0.65536,23.220885826771653,3.8701771653543116
600,39.97741,-3.0000000002417e-05,72.74586,0.65534,665.6886023622046,3.869940944881876
620,79.95506,-0.6554,75.36749,0.65537,917.2591535433072,-0.00017716535433055802
640,74.71212,0.65535999999999,75.36748,0.65536,886.2968503937008,7.740472440944823
660,75.36749,0.0,75.36749,1.0000000003174e-05,890.1672047244095,5.9055118128980315e-05
680,75.3675,9.9999999960687e-06,75.36749,1.0000000003174e-05,890.1672637795276,0.0001181102362160002
700,76.02286,-0.65536,76.67822,-0.65535,901.7780314960629,-7.7404133858267725
720,77.33358,-1.31071,77.33357,-0.65533,913.3886811023622,-11.610472440944882
740,77.98894,-1.3107,77.98894,-1.31069,921.1292125984252,-15.480649606299213
760,77.98895,-1.31069,77.98893,-1.31068,921.1292125984252,-15.480531496062994
780,78.6443,-1.96605,78.6443,-1.31068,928.8696850393701,-19.350767716535433
800,78.6443,-1.96604,77.98893,-1.31068,924.9993897637795,-19.350708661417325
820,77.98894,-1.31069,80.61038,-1.31067,936.610157480315,-15.480472440944883
840,96.33923,-1.31067,111.41275,-0.65528,1226.8817716535434,-11.60994094488189
860,112.06815,-0.65528,108.7913,9.0000000000146e-05,1304.288090551181,-3.869232283464566
880,108.79131,7.9999999996971e-05,108.79131,0.0001000000000033,1284.9367322834646,0.0010629921259858524
900,108.13595,-0.65527,108.13594,0.0001000000000033,1277.1962007874017,-3.8691141732283265
920,108.79131,-0.65526000000001,108.79131,-0.65525,1284.9367322834646,-7.739232283464626
940,108.79132,-0.65525,109.44668,-0.65524,1288.8070866141732,-7.739114173228348
960,109.44669,-1.3106,110.10205,-1.31059,1296.5476771653543,-15.479468503937008
980,110.10206,-1.96595,110.10205,-1.31058,1300.4179724409448,-19.34958661417323
1000,110.75742,-1.96594,110.75741,-1.31056,1308.1584448818896,-19.349409448818896
1020,110.75742,-2.62129,111.41277,-1.96592,1312.0286811023623,-27.08982283464567
1040,110.75742,-2.62129,110.75741,-1.9654,1308.1584448818896,-27.086751968503936
1060,110.75741,-2.62128,110.75741,-1.96591,1308.1583858267716,-27.089704724409447
1080,110.75742,-2.62128,110.7574,-2.62126,1308.1583858267716,-30.959881889763782
1100,117.31109,-2.62125,121.24331,-2.62124,1408.7858267716535,-30.95958661417323
1120,119.93257,-2.62125,119.27719,-1.96588,1412.656062992126,-27.08935039370079
1140,119.2772,-2.62125,119.27719,-1.96588,1408.7857677165355,-27.08935039370079
1160,119.93255,-1.96589,119.93254,-1.96588,1416.5261220472441,-23.21911417322835
1180,119.93255,-1.96589,119.93254,-1.96588,1416.5261220472441,-23.21911417322835
