T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.0000000003174e-05,0.0,0.0,0.0,-5.9055118128980315e-05
40,0.0,0.65535999999999,0.0,9.9999999960687e-06,0.0,3.8702952755904687
60,-0.65536,0.65535999999999,-0.65536,9.9999999960687e-06,-7.740472440944883,3.8702952755904687
80,-0.65536,0.65535999999999,-0.65536,0.0,-7.740472440944883,3.870236220472382
100,-0.65536,0.65535,-0.65536,0.65535999999999,-7.740472440944883,7.740413385826713
120,-0.65536,0.65535999999999,-1.31072,0.65535999999999,-11.610708661417323,7.740472440944764
140,-1.31072,1.31072,-1.31072,1.31073,-15.480944881889766,15.481003937007873
160,-1.31072,1.31072,-1.31071,0.65535999999999,-15.480885826771654,11.610708661417265
180,-1.31071,0.65535999999999,-1.31072,1.31073,-15.480885826771654,11.610767716535374
200,-1.31072,1.31072,-1.31072,0.65537,-15.480944881889766,11.610767716535433
220,-1.31072,1.96608,-1.31072,1.31072,-15.480944881889766,19.351181102362204
240,-0.65536,1.96608,-1.31072,1.31073,-11.610708661417323,19.351240157480316
260,-1.31072,1.31072,-1.31073,1.31073,-15.481003937007873,15.481003937007873
280,-0.65537,1.96608,-1.31072,1.31073,-11.610767716535433,19.351240157480316
300,-0.65536,1.96609,-0.65536,1.96609,-7.740472440944883,23.221535433070866
320,-1.31072,1.96608,-1.31072,1.96609,-15.480944881889766,23.221476377952758
340,-0.65536,2.62144,-0.65536,1.96609,-7.740472440944883,27.091712598425197
360,-0.65535,2.62145,-1.31072,1.96609,-11.610649606299212,27.091771653543308
380,-0.65536,2.62145,-1.31072,3.27682,-11.610708661417323,34.832303149606304
400,-0.65535,2.62145,-0.65535,3.27682,-7.740354330708661,34.832303149606304
420,-1.31071,3.27681,-1.31071,3.27682,-15.480826771653545,38.70253937007874
440,-1.31072,3.93217,-1.96607,3.27683,-19.351122047244097,42.57283464566929
460,-1.96607,3.27682,-2.62143,3.93219,-27.09153543307087,42.572893700787404
480,-2.62143,3.93218,-1.96606,3.93218,-27.091476377952755,46.44307086614173
500,-1.96607,4.58754,-2.62142,4.58754,-27.091476377952755,54.183543307086616
520,-2.62142,4.58754,-2.62142,4.58755,-30.96165354330709,54.18360236220473
540,-2.62143,4.58754,-2.62142,4.58755,-30.9617125984252,54.18360236220473
560,-2.62142,5.24291,-2.62142,4.58756,-30.96165354330709,58.05395669291339
580,-2.62142,5.89827,-3.27678,4.58756,-34.83188976377953,61.92419291338583
600,-2.62142,5.24291,-3.27678,4.58756,-34.83188976377953,58.05395669291339
620,-3.27679,5.24291,-3.9296,4.58756,-42.55742125984252,58.05395669291339
640,-3.27679,5.24292,-3.93215,5.24292,-42.57248031496063,61.92425196850394
660,-3.93215,5.24292,-4.58751,3.93221,-50.31295275590551,54.18383858267716
680,-4.58753,1.31078,-5.24293,-4.58741,-58.05389763779528,-19.35017716535433
700,-3.93227,-9.83022,-4.58772,-15.07296,-50.31490157480315,-147.06602362204725
720,-11.14132,-20.31566,-24.90396,-22.93694,-212.8658267716536,-255.42874015748032
740,-37.35585,-24.24766,-43.25403,-23.5923,-476.0425984251969,-282.5194488188976
760,-47.18609,-22.93694,-48.49669,-21.62622,-565.0557874015748,-263.16826771653547
780,-51.11811,-20.3155,-49.15205,-18.34942,-592.1466141732284,-228.3361417322835
800,-40.63241,-15.07262,-30.80204,-12.45126,-421.8569881889764,-162.54259842519684
820,-22.93777,-9.17458,-17.6949,-6.55322,-239.95671259842518,-92.88070866141733
840,-13.76275,-4.58722,-11.79668,-3.9319,-150.9415157480315,-50.309763779527565
860,-9.83062,-1.96587,-9.17524,-1.31053,-112.23933070866141,-19.3488188976378
880,-8.51988,0.65551,-8.51987,0.6555,-100.62844488188975,7.742185039370079
900,-8.51986,1.9662,-8.51985,2.62156,-100.62820866141732,27.093070866141733
920,-8.51985,3.93226,-8.51984,3.93226,-100.6280905511811,46.4440157480315
940,-9.1752,4.58761,-9.17519,5.24296,-108.36844488188977,58.054547244094486
960,-9.83055,5.24295,-9.83055,5.89831,-116.10885826771654,65.79484251968505
980,-10.48591,6.55366,-10.48591,6.55367,-123.84933070866143,77.40549212598427
1000,-10.48591,6.55365,-11.14126,7.20902,-127.71950787401575,81.27561023622047
1020,-11.14127,7.20901,-11.14127,7.20901,-131.5898031496063,85.14578740157481
1040,-9.83053,7.86436,-3.27681,7.86437,-77.40555118110235,92.88620078740156
1060,8.0000000004077e-05,8.51971,-1.31066,8.51972,-7.739645669291314,100.62655511811023
1080,-1.31067,9.17507,-1.31067,9.17507,-15.480354330708662,108.366968503937
1100,-1.31067,9.83042,-1.31067,9.83044,-15.480354330708662,116.10744094488189
1120,-1.31067,9.83043,-1.31067,9.83044,-15.480354330708662,116.1075
1140,-1.31067,9.83043,-1.31067,9.17508,-15.480354330708662,112.23726377952757
1160,-0.65531,9.17507,-0.65531,9.17508,-7.7398818897637796,108.36702755905512
1180,-0.65531,9.17507,-1.31067,9.17509,-11.610118110236222,108.36708661417323
1200,-0.65531,9.17508,-0.65531,8.51973,-7.7398818897637796,104.49690944881888
1220,-0.65531,43.90916,-0.65531,8.51973,-7.7398818897637796,309.6194291338583
1240,-0.65531,9.17509,-0.6553,8.51974,-7.73982283464567,104.49702755905514
1260,-0.6553,8.51973,-0.6553,7.86438,-7.739763779527559,96.75655511811024
1280,7.0000000000903e-05,8.51973,7.20916,8.51974,42.57419291338583,100.62679133858269
1300,11.79678,8.51973,11.79678,8.51974,139.3320472440945,100.62679133858269
1320,11.1414,9.83046,11.1414,9.83047,131.59133858267717,116.10785433070866
1340,11.1414,10.48582,11.14141,9.83047,131.5913976377953,119.9780905511811
1360,11.1414,10.48582,10.48604,10.48584,127.72110236220473,123.84838582677166
1380,11.14141,11.14119,11.1414,11.14121,131.5913976377953,131.58897637795275
1400,11.1414,11.79656,11.1414,11.79657,131.59133858267717,139.32950787401575
1420,11.1414,11.79656,11.79676,11.79657,135.46157480314963,139.32950787401575
1440,11.79675,12.45193,11.79675,12.45194,139.33169291338584,147.07009842519687
1460,12.45212,12.45193,13.10747,12.45194,150.94246062992127,147.07009842519687
1480,13.10747,12.45193,13.76283,12.45194,158.68287401574804,147.07009842519687
1500,14.41818,12.45193,14.41818,12.45194,170.29346456692915,147.07009842519687
1520,15.07354,13.10729,15.07354,12.45193,178.03393700787402,150.9402755905512
1540,15.07353,12.45192,15.07354,12.45193,178.03387795275592,147.06998031496062
1560,15.7289,13.10728,15.07354,12.45193,181.90417322834648,150.94021653543308
1580,15.7289,12.45192,15.07354,12.45193,181.90417322834648,147.06998031496062
1600,15.7289,13.10728,15.07354,13.10729,181.90417322834648,154.81045275590552
1620,15.07354,13.10728,15.07353,12.45193,178.03387795275592,150.94021653543308
1640,15.07353,12.45192,14.41817,12.45193,174.16358267716538,147.06998031496062
1660,15.07353,13.10728,15.07353,12.45193,178.0338188976378,150.94021653543308
1680,15.07353,12.45192,20.97185,13.1073,212.86641732283465,150.94027559055118
1700,30.80245,13.76266,34.07934,13.76266,383.1601771653543,162.55110236220474
1720,33.42396,15.07337,33.42396,13.76266,394.7711811023622,170.29151574803151
1740,33.42396,14.41801,34.07932,13.76266,398.6414173228347,166.42127952755905
1760,34.07931,13.76265,34.07932,13.76266,402.511594488189,162.55104330708662
1780,34.07931,13.76265,33.42395,14.41803,398.6412992125984,166.42133858267715
1800,34.07931,13.76266,34.0793,13.76266,402.5114763779528,162.55110236220474
1820,34.0793,13.76266,33.42394,13.10731,398.6411811023622,158.68092519685038
1840,34.0793,13.76266,34.0793,13.10731,402.5114173228347,158.68092519685038
1860,33.42394,13.1073,34.07929,13.76268,398.6411220472441,158.6809842519685
1880,34.07929,13.76266,34.0793,13.76268,402.51135826771656,162.55122047244095
1900,34.0793,14.41802,34.0793,14.41803,402.5114173228347,170.29163385826772
1920,34.0793,15.07339,34.0793,15.07339,402.5114173228347,178.03216535433071
1940,34.07929,15.72874,33.42393,16.38411,398.64106299212597,189.64281496062995
1960,34.07929,17.03946,34.07929,17.03947,402.51129921259843,201.25352362204725
1980,35.39003,18.35018,43.90986,18.3502,468.3064370078741,216.73452755905515
2000,49.15286,19.66091,49.15287,19.66093,580.5456496062992,232.21559055118112
2020,49.80821,19.66092,49.15286,19.66093,584.4157677165355,232.2156496062992
2040,49.15286,20.31628,49.15286,19.66093,580.5455905511811,236.08588582677166
2060,49.15286,20.31629,49.15286,19.66094,580.5455905511811,236.08600393700786
2080,49.15286,19.00557,49.15286,19.00558,580.5455905511811,224.47529527559055
2100,49.15286,19.00557,49.15285,18.35023,580.5455314960631,220.60511811023625
2120,49.15285,18.35022,49.15285,17.69487,580.5454724409449,212.86470472440948
2140,49.15284,17.0395,49.15284,17.0395,580.5453543307086,201.25393700787401
2160,49.15284,17.0395,49.8082,16.38414,584.4155905511811,197.38370078740158
2180,49.15283,16.38414,49.15283,15.72879,580.5452362204725,189.6432874015748
2200,49.80819,15.72878,49.15283,15.07342,584.4154724409449,181.9027559055118
2220,49.8082,15.72877,49.15284,14.41806,584.4155905511811,178.03246062992127
2240,49.15284,14.41805,49.8082,14.41806,584.4155905511811,170.2919881889764
2260,49.8082,14.41806,53.08504,14.41807,607.6372440944882,170.2921062992126
2280,55.70655,15.07343,56.36192,15.07343,661.8216732283465,178.0326377952756
2300,56.36192,15.07343,56.36192,14.41807,665.691968503937,174.16240157480314
2320,57.01729,15.07343,57.01729,14.41808,673.4325590551182,174.16246062992127
2340,57.01729,15.72879,57.0173,15.07344,673.4326181102363,181.90293307086617
2360,57.0173,15.07343,57.01729,15.07344,673.4326181102363,178.0326968503937
2380,57.01729,15.07343,57.01729,15.07344,673.4325590551182,178.0326968503937
2400,57.01729,14.41807,57.01729,14.41808,673.4325590551182,170.29222440944883
2420,57.67265,14.41807,57.01729,13.76272,677.3027952755906,166.42198818897637
2440,57.67265,14.41807,57.01729,13.76272,677.3027952755906,166.42198818897637
2460,57.01729,13.76272,57.01728,13.76272,673.4325,162.55181102362204
2480,57.67265,13.76271,57.67265,13.10736,681.173031496063,158.6815157480315
2500,57.67265,13.76271,64.88173,14.4181,723.7463385826771,166.4221062992126
2520,73.40158,14.41809,75.36774,14.4181,878.5589763779527,170.29246062992127
2540,74.71237,14.41809,74.71236,13.76274,882.4295078740158,166.42222440944883
2560,74.71236,13.10737,74.71237,12.45202,882.4295078740158,150.94127952755906
2580,74.71236,12.45201,74.71236,11.79665,882.4294488188978,143.20074803149606
2600,74.71236,12.452,74.71236,12.45201,882.4294488188978,147.0709251968504
2620,74.71235,12.452,75.36771,11.79664,886.2995669291339,143.20062992125986
2640,75.36771,12.452,75.36772,12.452,890.1698622047245,147.0708661417323
2660,75.36772,12.45199,75.36772,11.79664,890.1699212598426,143.20057086614173
2680,75.36772,12.452,75.36772,11.79664,890.1699212598426,143.20062992125986
2700,75.36772,12.45199,75.36772,12.452,890.1699212598426,147.07080708661417
2720,75.36772,12.45199,76.02308,11.79664,894.0401574803151,143.20057086614173
2740,76.02308,11.79663,76.02308,11.79664,897.9103937007874,139.3303346456693
2760,76.67843,11.79664,76.67843,11.79664,905.6507480314962,139.3303937007874
2780,77.98914,11.79663,77.33378,11.14129,917.2613385826772,135.46015748031496
2800,77.98914,11.14128,77.98914,11.14128,921.1315748031498,131.58992125984253
2820,78.64451,11.79663,78.64451,11.14128,928.8721653543307,135.46009842519683
2840,78.64451,11.79663,79.29987,11.79664,932.7424015748031,139.3303346456693
