T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.6545,0.65536,-0.65537,3.8702362204724414,-7.735452755905513
40,-9.9999999960687e-06,-0.65537,1.31071,-0.65537999999999,7.740354330708685,-7.7406496062991526
60,0.65534,-1.31075,1.31071,-1.96611,11.610531496062993,-19.351535433070868
80,0.65533,-1.96612,1.96605,-1.96612,15.480590551181102,-23.22188976377953
100,1.31068,-1.96613,1.96605,-2.62149,19.350767716535433,-27.09224409448819
120,1.96604,-3.27686,2.6214,-3.27687,27.091181102362206,-38.703129921259844
140,1.96603,-3.27687,2.62139,-3.27688,27.091062992125984,-38.70324803149607
160,2.62138,-3.93224,3.27675,-3.93224,34.83147637795276,-46.44377952755906
180,2.62137,-4.58761,3.27674,-4.58761,34.83135826771654,-54.18437007874016
200,3.27672,-5.24298,3.93209,-5.24298,42.571712598425194,-61.924960629921266
220,3.27672,-5.89835,4.58744,-5.24299,46.44188976377953,-65.79531496062992
240,3.93207,-5.89836,3.93208,-5.89836,46.44183070866142,-69.66566929133859
260,3.93207,-6.55373,4.58743,-5.89837,50.312007874015755,-73.53602362204724
280,4.58742,-7.2091,5.24279,-7.20909,58.052421259842525,-85.14679133858267
300,4.58741,-7.2091,5.24278,-7.20911,58.0523031496063,-85.1469094488189
320,4.58741,-7.86447,5.89813,-7.20912,61.92248031496063,-89.01726377952755
340,5.24276,-7.86448,5.89813,-7.86449,65.79265748031496,-92.88761811023622
360,5.89812,-8.51986,6.55348,-9.17522,73.53307086614173,-104.49850393700785
380,6.55347,-9.83059,7.20883,-9.17524,81.2734251968504,-112.23915354330711
400,6.55346,-9.8306,7.86418,-9.83061,85.14354330708662,-116.10950787401575
420,7.86416,-10.48598,8.51953,-10.48598,96.75407480314962,-123.85015748031496
440,7.86416,-11.14135,8.51952,-11.14135,96.75401574803149,-131.59074803149605
460,8.51951,-11.79671,8.51952,-11.14136,100.62419291338583,-135.4610433070866
480,8.51951,-11.79672,9.17488,-11.14136,104.49442913385826,-135.4611023622047
500,9.17486,-11.79672,9.83023,-11.14136,112.23478346456693,-135.4611023622047
520,9.17486,-11.79673,10.48559,-11.79673,116.10501968503938,-139.33145669291338
540,9.83021,-11.79674,9.83023,-11.14138,116.10496062992127,-135.46133858267717
560,9.83021,-11.79674,10.48558,-11.79674,119.97513779527559,-139.3315748031496
580,9.83021,-11.79675,10.48558,-11.79675,119.97513779527559,-139.33169291338584
600,9.83021,-12.45211,10.48557,-11.79675,119.97507874015746,-143.20192913385827
620,9.83021,-11.79675,10.48558,-11.79675,119.97513779527559,-139.33169291338584
640,9.17485,-11.79675,9.83022,-11.79675,112.23466535433072,-139.33169291338584
660,9.17485,-11.79675,9.17486,-11.79675,108.36442913385828,-139.33169291338584
680,8.51949,-11.79675,8.51951,-11.79675,100.62401574803151,-139.33169291338584
700,7.86414,-12.45211,12.45171,-11.79675,119.97549212598426,-143.20192913385827
720,17.6947,-12.45211,20.97155,-12.45212,228.34399606299218,-147.0722244094488
740,20.31617,-12.45212,20.97153,-11.79676,243.82500000000002,-143.2020472440945
760,20.97152,-12.45213,22.28225,-11.79677,255.43564960629925,-143.2021653543307
780,20.97151,-11.79677,22.28224,-12.45213,255.435531496063,-143.2021653543307
800,21.62687,-12.45213,22.28224,-11.79678,259.30576771653546,-143.2022244094488
820,21.62687,-11.79678,21.62687,-11.79679,255.4354724409449,-139.3321062992126
840,20.9715,-12.45215,20.97151,-11.79679,247.6949409448819,-143.20240157480316
860,20.31614,-12.45215,20.9715,-12.45215,243.82464566929136,-147.0726377952756
880,20.31613,-12.45216,20.9715,-13.10751,243.82458661417323,-150.94293307086616
900,20.31613,-13.10752,24.90371,-13.10752,267.0462992125984,-154.8132283464567
920,32.1128,-13.76286,35.38968,-13.76286,398.63669291338584,-162.55346456692914
940,34.7343,-14.41823,35.38966,-14.41823,414.11787401574804,-170.29405511811024
