T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.31072,-0.65537,-1.31073,-0.65535999999999,-5.905511810931182e-05,-7.740531496062933
40,-3.27683,-0.65538,-2.62147,-1.31073,-34.83248031496063,-11.610885826771653
60,-1.31073,-0.65537,-1.9661,-1.31072,-19.351358267716535,-11.610767716535433
80,-1.31074,-1.31073,-1.9661,-1.31072,-19.351417322834646,-15.481003937007873
100,-1.31074,-0.65537,-1.9661,-1.31072,-19.351417322834646,-11.610767716535433
120,-1.31074,-1.31073,-1.31074,-1.31071,-15.481181102362205,-15.480944881889766
140,-0.65538,-1.31073,-1.31074,-1.31072,-11.610944881889765,-15.481003937007873
160,-0.65538,-1.31074,-1.31074,-1.31073,-11.610944881889765,-15.481122047244094
180,-0.65537,-1.31074,-1.31073,-1.31073,-11.610826771653544,-15.481122047244094
200,-0.65537,-1.31074,-1.31073,-1.31073,-11.610826771653544,-15.481122047244094
220,-0.65537,-1.31074,-1.9661,-1.31073,-15.481122047244094,-15.481122047244094
240,-1.31073,-0.65539,-1.96609,-1.31075,-19.351299212598423,-11.611062992125985
260,-1.31073,-1.31076,-1.9661,-1.96612,-19.351358267716535,-19.351653543307087
280,-0.65537,-2.62152,-1.31074,-4.58764,-11.610885826771653,-42.573779527559054
300,1.31071,-8.51992,5.24287,-18.35054,38.702244094488194,-158.68381889763782
320,12.45183,-32.1134,18.35013,-49.15303,181.90133858267717,-479.91986220472444
340,29.4915,-66.19259,40.63293,-80.61067,414.12064960629925,-866.9483858267716
360,47.1867,-89.13049,49.15289,-92.40733,568.9345866141732,-1072.0737401574804
380,49.80828,-91.75196,47.84215,-89.13045,576.6757677165355,-1068.2032086614174
400,45.22062,-83.8875,39.97762,-76.02308,503.1392125984252,-944.3538188976377
420,38.01146,-67.50333,35.38993,-59.63892,433.47277559055124,-750.8400590551181
440,34.73446,-51.77456,32.76828,-45.22088,398.63822834645663,-572.8077165354331
460,32.11286,-39.32259,30.80208,-35.39035,371.5449212598425,-441.2181496062992
480,30.80206,-31.45812,29.49131,-27.52589,356.0632086614174,-348.33076771653543
500,29.4913,-24.24904,28.18057,-21.62753,340.5819094488189,-270.924625984252
520,28.18058,-19.66141,27.52521,-17.69527,328.9712007874016,-220.61031496062992
540,26.86986,-15.72916,25.55914,-14.41839,309.6200787401575,-178.0367125984252
560,26.2145,-13.10765,24.24841,-11.79689,298.00931102362205,-147.07405511811024
580,24.90378,-11.14152,24.24841,-9.83076,290.2688385826772,-123.85204724409449
600,24.24841,-9.17539,22.93769,-7.86463,278.65807086614177,-100.63003937007873
620,22.9377,-7.20927,21.62697,-6.55388,263.1771850393701,-81.27844488188977
640,21.62698,-5.89851,20.31625,-5.24313,247.69624015748033,-65.79708661417322
660,20.97162,-4.58776,19.6609,-3.93237,239.95582677165353,-50.315728346456694
680,20.31627,-3.27701,19.00555,-2.62163,232.2154724409449,-34.83448818897638
700,19.00556,-1.96626,17.69483,-1.96624,216.73458661417322,-23.223425196850396
720,18.35019,-0.65553,17.69483,-1.31087,212.8642913385827,-11.61259842519685
740,17.69484,-0.65552,16.38411,-0.65549,201.25364173228346,-7.742185039370079
760,17.03948,-0.65549,16.38412,-0.0001199999999954,197.38346456692915,-3.8717125984251695
780,16.38413,-0.0001199999999954,15.0734,0.65526000000001,185.77281496062992,3.868937007874102
800,15.72877,0.65526000000001,14.41804,1.31064,178.03234251968505,11.609645669291398
