T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
40,0.65535999999999,0.65535,-9.9999999960687e-06,0.0,3.8701771653542942,3.8701771653543307
60,0.65535999999999,-1.0000000003174e-05,-9.9999999960687e-06,-0.65535,3.8701771653542942,-3.8702362204724596
80,0.65535999999999,-1.0000000003174e-05,0.65535,0.0,7.740413385826713,-5.9055118128980315e-05
100,0.65535999999999,0.65535,0.65535,0.0,7.740413385826713,3.8701771653543307
120,0.65535,0.0,0.65534,0.0,7.740295275590552,0.0
140,1.31071,0.0,1.96605,1.0000000003174e-05,19.350944881889767,5.9055118128980315e-05
160,1.96606,0.0,1.96605,1.0000000003174e-05,23.221122047244098,5.9055118128980315e-05
180,1.96606,0.0,1.31069,-0.65535,19.350885826771652,-3.8701771653543307
200,1.3107,0.0,1.31069,1.0000000003174e-05,15.480649606299213,5.9055118128980315e-05
220,1.96606,9.9999999960687e-06,1.96606,1.0000000003174e-05,23.221181102362205,0.0001181102362160002
240,1.96607,9.9999999960687e-06,2.62142,1.0000000003174e-05,27.091476377952755,0.0001181102362160002
260,1.96607,0.0,1.96606,1.0000000003174e-05,23.221240157480317,5.9055118128980315e-05
280,2.62143,0.0,1.96606,1.0000000003174e-05,27.091476377952755,5.9055118128980315e-05
300,2.62143,0.65536,2.62142,0.0,30.9617125984252,3.8702362204724414
320,2.62143,0.0,2.62142,-0.65535999999999,30.9617125984252,-3.870236220472382
340,2.62143,0.0,1.96606,0.0,27.091476377952755,0.0
360,2.62143,0.0,2.62142,0.0,30.9617125984252,0.0
380,2.62143,-1.0000000003174e-05,2.62142,0.0,30.9617125984252,-5.9055118128980315e-05
400,2.62143,0.0,2.62142,0.0,30.9617125984252,0.0
420,2.62143,0.65535,2.62142,0.65536,30.9617125984252,7.7404133858267725
440,2.62143,0.65535,1.96606,0.0,27.091476377952755,3.8701771653543307
460,2.62143,0.65536,1.96606,0.65536,27.091476377952755,7.740472440944883
480,1.96607,0.65536,1.96607,0.65536,23.221299212598424,7.740472440944883
500,1.96607,1.31072,1.96607,1.31073,23.221299212598424,15.481003937007873
520,1.31072,1.96608,1.31071,1.96609,15.480885826771654,23.221476377952758
540,1.31072,2.62144,1.31071,3.27681,15.480885826771654,34.83218503937008
560,0.65535999999999,3.2768,2.62145,3.93217,19.351240157480255,42.57265748031496
580,2.62147,3.93216,1.9661,4.58752,27.09194881889764,50.31307086614173
600,1.96611,4.58752,1.9661,5.24288,23.221712598425196,58.05354330708662
620,1.31075,5.24287,1.31075,5.89825,15.481299212598426,65.7940157480315
640,1.31075,5.89824,1.31075,5.24288,15.481299212598426,65.7940157480315
660,1.31076,5.89824,1.31075,5.89825,15.481358267716535,69.66431102362205
680,0.6554,6.55359,0.65539,6.5536,7.740885826771653,77.4046653543307
700,0.6554,6.55359,0.65539,7.20896,7.740885826771653,81.27490157480315
720,0.65541,7.20895,0.65539,7.20896,7.740944881889764,85.14513779527559
740,0.65541,7.20895,3.0000000002417e-05,7.20896,3.870708661417337,85.14513779527559
760,3.9999999998486e-05,7.86431,3.9999999998486e-05,7.86432,0.0004724409448640079,92.88561023622046
780,4.9999999994554e-05,8.51967,3.9999999998486e-05,8.51968,0.0005314960629510237,100.62608267716536
800,-0.65531,9.17503,-0.65532,9.17504,-7.73994094488189,108.36655511811023
820,-0.65531,9.17503,-1.31068,9.8304,-11.610177165354331,112.23679133858266
840,-0.65531,9.83039,-0.65532,9.83039,-7.73994094488189,116.10696850393701
860,-0.65531,10.48574,-0.65532,9.83039,-7.73994094488189,119.97714566929135
880,-0.65531,9.83038,3.0000000002417e-05,10.48575,-3.869763779527544,119.97714566929135
900,-0.65532,9.83038,3.0000000002417e-05,9.83038,-3.8698228346456554,116.1068503937008
920,-0.65533000000001,10.48573,-0.65533,9.83038,-7.7401181102362795,119.97702755905512
940,-0.65532,10.48573,-1.31069,10.48574,-11.610295275590552,123.84726377952757
960,-0.65532,11.1411,-0.65532,10.48575,-7.74,127.71761811023623
980,-1.31067,11.1411,-1.31068,10.48575,-15.480413385826772,127.71761811023623
1000,-0.65531,11.14109,-1.31067,10.48574,-11.610118110236222,127.71750000000002
1020,-1.31066,10.48573,-0.65531,10.48573,-11.61005905511811,123.84720472440945
1040,-0.6553,10.48573,-0.65531,11.14109,-7.73982283464567,127.71744094488189
1060,-0.6553,10.48572,-0.65531,9.83037,-7.73982283464567,119.9769094488189
1080,-0.6553,10.48572,-0.6553,9.83037,-7.739763779527559,119.9769094488189
1100,-0.6553,10.48572,-1.31066,10.48572,-11.61,123.84708661417324
1120,-1.31065,9.83035,-1.31066,9.83036,-15.48017716535433,116.10655511811025
1140,-0.6553,9.83035,-0.6553,9.83036,-7.739763779527559,116.10655511811025
1160,-0.65529,9.83035,-0.6553,9.83036,-7.739704724409449,116.10655511811025
1180,-0.65529,9.83035,-0.6553,9.83036,-7.739704724409449,116.10655511811025
1200,-0.65529,9.83034,-0.6553,9.175,-7.739704724409449,112.23625984251969
1220,-0.65529,9.83035,-0.65531,9.175,-7.739763779527559,112.2363188976378
1240,-0.65529,9.17499,-0.6553,9.175,-7.739704724409449,108.36608267716535
1260,5.89836,9.83035,17.69495,10.48573,139.33057086614173,119.97685039370079
1280,20.97181,11.14109,19.00573,11.1411,236.0878346456693,131.58773622047244
1300,19.00574,11.14109,19.00573,11.14109,224.4771850393701,131.58767716535434
1320,18.35038,11.14109,18.35037,11.14109,216.73671259842519,131.58767716535434
1340,18.35038,11.79644,18.35038,11.1411,216.73677165354331,135.45791338582677
1360,18.35039,11.79645,17.69502,11.79646,212.86659448818895,139.32820866141734
1380,17.69503,11.79645,17.69502,11.79646,208.99635826771654,139.32820866141734
