T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,0.65536,-1.9999999999243e-05,9.9999999960687e-06,-0.00017716535434498227,3.8702952755905278
40,-3.0000000002417e-05,0.0,-4.0000000005591e-05,9.9999999960687e-06,-0.0004133858268189449,5.905511808701989e-05
60,-0.65541,1.0000000003174e-05,-5.000000000166e-05,1.9999999999243e-05,-3.8708267716535527,0.00017716535434498227
80,-5.000000000166e-05,0.65537,-5.000000000166e-05,0.65537,-0.0005905511811219685,7.740590551181103
100,-5.000000000166e-05,1.31072,-5.000000000166e-05,0.65537,-0.0005905511811219685,11.610767716535433
120,0.6553,1.31071,0.6553,0.65535999999999,7.739763779527559,11.610649606299154
140,1.31066,1.31071,1.31066,0.65535999999999,15.48023622047244,11.610649606299154
160,1.31065,0.65536,1.96601,0.65535999999999,19.35035433070866,7.740472440944823
180,1.96601,1.31071,1.96601,0.65535,23.220590551181104,11.610590551181103
200,1.96601,1.31071,1.96601,0.65535999999999,23.220590551181104,11.610649606299154
220,2.62136,0.65535,2.62137,0.65537,30.961003937007874,7.740472440944881
240,2.62136,0.65537,2.62136,0.65537,30.960944881889766,7.740590551181103
260,2.62135,0.65538,3.27671,0.65539,34.831062992125986,7.740767716535434
280,3.27671,1.31074,3.93207,0.65539,42.57153543307087,11.611003937007874
300,3.27669,2.62147,2.6213,3.93222,34.83064960629921,38.7028937007874
320,3.27669,3.93221,3.93205,3.27685,42.571299212598426,42.573188976377956
340,4.58741,3.9322,4.58741,3.93221,54.18200787401575,46.443366141732284
360,5.24277,3.93221,5.89813,3.93221,65.79271653543307,46.44342519685039
380,5.89813,4.58756,5.89813,3.93222,69.66295275590552,50.31366141732284
400,5.89813,4.58757,6.55349,3.93222,73.53318897637796,50.31372047244095
420,6.55349,3.93221,6.55349,3.93222,77.40342519685039,46.443484251968506
440,6.55346,3.93222,6.55346,3.93223,77.40307086614173,46.44360236220472
460,6.55345,3.27686,5.89809,3.27687,73.53271653543307,38.703129921259844
480,5.89809,2.6215,5.89808,2.62151,69.66242125984252,30.96265748031496
500,5.24271,1.96615,5.2427,1.96617,61.921712598425195,23.22236220472441
520,5.24268,1.96616,5.24267,1.96617,61.92135826771654,23.22242125984252
540,4.5873,1.96616,3.93194,1.96616,50.310472440944885,23.22236220472441
560,3.93193,1.96615,3.93193,1.31079,46.44011811023622,19.35200787401575
580,3.27657,1.31078,3.27656,1.31078,38.699586614173235,15.481653543307088
600,2.6212,1.31077,1.31048,1.31077,23.218582677165355,15.481535433070867
620,1.31048,0.6554,1.31049,3.9999999998486e-05,15.478169291338581,3.8707086614173134
640,0.65513,1.9999999999243e-05,0.65515,-0.65533000000001,7.737874015748033,-3.8699409448819524
660,-0.0002100000000027,-0.65535,-0.0001900000000034,-1.31072,-0.002362204724444882,-11.610649606299212
680,-0.0001800000000002,-1.31074,-0.65553000000001,-1.96611,-3.87230314960636,-19.351476377952757
700,-0.65552,-1.96613,-0.6555,-2.6215,-7.74224409448819,-27.0923031496063
720,-1.31085,-1.96615,-1.31084,-1.96616,-15.482421259842521,-23.2223031496063
740,-53.73963,-1.96618,-2.62154,-1.31082,-332.84155511811025,-19.35236220472441
760,-3.2769,-1.31084,-3.27689,-1.31083,-38.703484251968504,-15.482303149606299
780,-3.93226,-1.96621,-4.58761,-1.96621,-50.314192913385824,-23.222952755905514
800,-4.58761,-1.96621,-5.24297,-2.62156,-58.054606299212594,-27.09312992125984
820,-5.24298,-1.96622,-5.89833,-1.9662,-65.7951377952756,-23.222952755905514
840,-5.89832,-1.96622,-5.89832,-1.9662,-69.6651968503937,-23.222952755905514
860,-5.89831,-1.31084,-5.89832,-1.9662,-69.6651377952756,-19.352598425196852
880,-5.89831,-1.31085,1.96612,0.65526,-23.221594488188977,-3.8715944881889763
900,14.41825,0.65528,17.69512,1.31063,189.6458858267717,11.609704724409449
920,16.38437,0.65527,15.729,1.31064,189.6458858267717,11.609704724409449
940,15.729,1.31065,15.07365,1.31066,181.90541338582676,15.48017716535433
960,15.729,1.31065,15.729,1.31066,185.7755905511811,15.48017716535433
980,15.729,1.31065,15.729,1.96602,185.7755905511811,19.350413385826773
1000,15.07364,1.31065,15.07365,1.31065,178.03517716535436,15.480118110236223
1020,15.07365,1.31064,14.41829,0.65528,174.165,11.609763779527558
1040,14.41829,1.31063,14.41829,0.65528,170.29476377952759,11.609704724409449
1060,13.76293,1.31064,13.10757,1.31064,158.68405511811025,15.48
1080,13.10757,1.31064,12.45221,1.31065,150.94358267716535,15.480059055118112
1100,11.79684,1.966,11.14148,1.31066,135.46251968503938,19.35035433070866
1120,13.10756,3.27673,27.52575,6.55359,239.96049212598427,58.05307086614174
1140,38.01178,8.51968,38.01182,10.48579,448.95826771653543,112.23702755905512
1160,33.42425,11.79653,30.14745,14.41802,375.4234251968504,154.8103346456693
1180,26.21529,17.69486,23.59387,20.31637,294.14858267716534,224.47576771653542
1200,19.66173,22.93787,16.38495,24.904,212.874094488189,282.5307283464567
1220,14.41888,26.87012,13.10818,26.21478,162.5613779527559,313.49350393700786
1240,11.79747,27.52552,10.48677,27.52554,131.59984251968504,325.1046850393701
1260,9.83141,28.18091,9.17606,28.18093,112.24883858267718,332.84551181102364
1280,8.52071,28.18093,6.55462,26.21485,89.02753937007874,321.23492125984257
1300,3.27777,23.59336,2.6224,22.93802,34.84352362204724,274.79161417322837
1320,2.62242,23.59338,2.62243,23.5934,30.973523622047242,278.66208661417323
1340,1.96707,23.59339,1.31171,23.5934,19.36287401574803,278.66214566929136
1360,1.31172,23.5934,1.31173,22.93804,15.492814960629921,274.791968503937
1380,1.31174,22.93803,1.31174,22.28268,15.492992125984252,267.05143700787403
1400,1.31174,22.93803,0.65638999999999,22.28289,11.622814960629862,267.05267716535434
1420,1.31175,22.93804,0.65638999999999,21.62733,11.622874015747973,263.1813188976378
1440,1.31175,22.28268,0.65638,21.62733,11.62281496062992,259.31108267716536
1460,0.65638,21.62732,0.65638,21.62733,7.75251968503937,255.4408464566929
1480,1.31174,21.62732,5.24398,24.2488,38.71488188976378,270.921968503937
1500,11.79769,26.21488,17.04065,24.90416,170.30515748031496,301.88409448818896
1520,18.35138,24.90415,17.04066,24.90417,209.00811023622043,294.1436220472441
1540,17.69601,25.55952,17.69601,25.55953,209.00799212598426,301.8841535433071
1560,17.69601,26.21489,17.69601,25.55954,209.00799212598426,305.75450787401576
1580,17.696,26.21489,17.696,26.21489,209.00787401574806,309.6246850393701
1600,18.35136,26.21489,18.35136,25.55952,216.74834645669293,305.75438976377956
1620,19.00672,26.21488,19.66208,26.21488,228.35905511811023,309.6245669291339
1640,20.31746,26.87024,28.83725,28.83634,290.28372047244096,328.9758661417323
1660,36.70172,30.14707,39.32321,30.14707,448.9661220472442,356.06775590551183
1680,39.32321,30.14707,40.63394,30.80244,472.18789370078747,359.93805118110237
1700,41.94469,31.45781,42.60006,31.45782,499.28001968503935,371.54899606299216
1720,43.9108,32.11318,44.56618,32.11319,522.5018503937008,379.28958661417323
1740,45.22154,32.11318,45.87691,31.45782,537.9829724409449,375.4192913385827
1760,45.87691,31.45782,46.53228,30.80247,545.723562992126,367.6788779527559
1780,46.53228,30.80246,47.18763,30.80247,553.4640354330709,363.8086417322835
1800,47.18763,30.1471,48.49834,30.14711,565.074625984252,356.06816929133856
1820,56.36278,31.45785,60.95038,30.8025,692.794251968504,367.6792322834646
1840,61.60574,31.45786,60.95037,30.8025,723.7565551181103,367.6792913385827
1860,51.77532,31.45785,60.95036,30.8025,665.7028346456693,367.6792322834646
1880,60.95036,30.8025,60.29499,30.14715,716.015846456693,359.9388779527559
1900,60.29499,30.80249,60.29498,30.14714,712.1454921259842,359.9387598425197
1920,59.63961,30.14713,58.98424,29.49178,700.5345472440945,352.1982874015748
1940,58.98423,29.49177,58.32886,29.49177,692.7938385826772,348.3279921259842
1960,57.67348,29.49177,57.67348,28.83641,681.1828346456692,344.4577559055118
1980,57.01811,29.49176,56.36273,29.49177,669.5718897637796,348.32793307086615
2000,58.98419,32.11322,73.40235,33.424,781.8102755905512,387.0308267716535
2020,82.57754,36.04544,81.92221,35.39009,971.4552165354331,421.8633661417323
2040,79.30073,36.7008,79.30073,36.04544,936.6227952755906,429.6037795275591
2060,79.95608,36.04541,81.92216,33.42395,955.9738582677165,410.25212598425196
2080,83.23287,31.45782,85.85431,28.18097,998.5463385826771,352.1975787401575
2100,87.82039,25.55946,88.47577,22.28261,1041.1190551181103,282.5319094488189
2120,89.7865,20.97184,90.44187,18.35038,1064.3407677165355,232.2178346456693
2140,91.09725,17.03961,91.75261,14.41813,1079.8220078740158,185.77405511811025
2160,90.4419,12.45201,89.78654,10.48591,1064.3411811023623,135.46015748031496
2180,89.78653,8.5198,90.44189,5.89834,1064.3410629921261,85.14649606299213
2200,90.44188,5.24295,89.13115,3.27686,1060.4706496062993,50.313838582677164
2220,88.47579,2.62148,87.82043,1.96612,1041.119409448819,27.09212598425197
2240,87.16507,1.31075,86.5097,1.31076,1025.638405511811,15.481358267716535
2260,85.85435,1.31074,85.85435,1.9999999999243e-05,1014.0277559055118,7.740708661417319
2280,74.05774,-2.62144,39.32319,-12.45189,669.5724212598426,-89.0157283464567
2300,-2.62049,-20.31627,-29.4906,-22.93772,-189.63242125984254,-255.43694881889766
2320,-30.14594,-20.97164,-27.52442,-19.6609,-340.5729921259843,-239.9559448818898
2340,-28.17978,-19.66091,-28.17978,-19.00554,-332.8320472440945,-228.34517716535433
2360,-27.52442,-19.00555,-27.52441,-19.66091,-325.0915157480315,-228.34523622047246
2380,-27.52441,-20.31629,-27.5244,-20.97165,-325.0913976377953,-243.82641732283466
2400,-27.5244,-20.97167,-27.52441,-21.62703,-325.0913976377953,-251.567125984252
2420,-28.17978,-21.62704,-29.49051,-21.62704,-340.5725787401575,-255.43748031496065
2440,-30.14587,-21.62706,-30.80124,-21.62707,-359.9238779527559,-255.4377755905512
2460,-30.80124,-20.97172,-38.01026,-21.62707,-406.36712598425197,-251.56765748031498
2480,-48.49618,-20.97172,-50.4623,-20.31634,-584.4004724409449,-243.82712598425198
2500,-49.80691,-19.00562,-49.15153,-18.35026,-584.4002362204724,-220.6055905511811
2520,-49.80689,-17.03954,-50.46225,-16.38417,-592.140590551181,-197.38411417322834
2540,-50.46225,-15.72883,-49.80688,-15.72882,-592.140531496063,-185.77352362204726
2560,-49.80433,-15.07347,-49.80688,-14.4181,-588.2551771653543,-174.16281496062993
2580,-49.15152,-14.41811,-49.80688,-14.4181,-584.4,-170.2925787401575
2600,-49.15153,-14.41811,-49.15153,-14.41812,-580.5298818897638,-170.2926968503937
2620,-49.15154,-13.76276,-48.49618,-14.41812,-576.6597637795276,-166.42251968503936
2640,-48.49618,-14.41814,-47.84081,-13.76278,-568.9192322834646,-166.42275590551182
2660,-47.18545,-11.14132,-46.53008,-11.79668,-553.4381692913386,-135.46062992125985
2680,-45.87474,-11.14134,-45.21937,-11.14133,-537.9573425196851,-131.59057086614175
2700,-45.21938,-10.48597,-44.56401,-10.48595,-530.2168700787402,-123.84992125984253
2720,-44.56403,-10.48596,-43.90867,-10.48597,-522.4765748031497,-123.84998031496063
2740,-43.25331,-9.83062,-42.59795,-9.83061,-506.9956299212598,-116.10962598425198
2760,-41.9426,-9.83062,-41.9426,-9.83062,-495.38503937007874,-116.10968503937008
2780,-41.28724,-8.51991,-41.28725,-9.17527,-487.64462598425195,-104.49909448818899
2800,-40.6319,-9.17528,-39.97655,-9.17528,-476.0341535433071,-108.36944881889765
2820,-39.32119,-9.17529,-36.69973,-7.86457,-448.9424409448819,-100.62909448818898
2840,-23.59231,-5.89847,-14.41708,-6.55384,-224.46490157480318,-73.53726377952756
2860,-13.10636,-5.8985,-13.76175,-6.55385,-158.66994094488192,-73.5375
2880,-13.1064,-5.24314,-12.45104,-5.89849,-150.92976377952755,-65.79702755905511
2900,-12.45104,-5.24315,-11.79569,-5.89851,-143.18935039370078,-65.79720472440945
2920,-11.14034,-5.24316,-11.7957,-4.5878,-135.44905511811024,-58.056850393700785
2940,-10.48498,-4.5878,-10.48498,-4.5878,-123.83834645669292,-54.18661417322834
2960,-10.48499,-3.93245,-10.48499,-4.58781,-123.83846456692913,-50.31649606299213
2980,-9.82964,-3.93246,-9.82964,-4.58782,-116.09811023622046,-50.316614173228345
3000,-9.17429,-3.93246,-9.1743,-4.58781,-108.35781496062994,-50.31655511811024
3020,-9.1743,-4.58783,-9.1743,-5.24319,-108.35787401574804,-58.05720472440945
3040,-8.51895,-5.2432,-8.51895,-5.2432,-100.61751968503937,-61.92755905511811
3060,-3.93138,-3.27712,9.83147,-2.62174,34.84305118110236,-34.835787401574805
3080,15.72979,-3.27712,15.07697,-3.93248,181.9296850393701,-42.576377952755905
3100,13.76368,-3.27712,15.07439,-3.93247,170.303562992126,-42.5763188976378
3120,14.41903,-4.58786,15.0744,-4.58785,174.17379921259842,-54.18726377952756
3140,15.72975,-5.24322,15.72974,-5.24321,185.78438976377953,-61.92773622047245
3160,16.3851,-5.24322,17.04045,-5.24322,197.39498031496063,-61.927795275590555
3180,17.04045,-5.24323,17.04045,-5.89859,201.26515748031497,-65.7981496062992
3200,17.6958,-5.8986,17.6958,-6.55396,209.0055118110236,-73.53874015748032
3220,18.35116,-5.8986,18.35115,-6.55396,216.74592519685038,-73.53874015748032
