T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,9.9999999960687e-06,9.9999999960687e-06,5.905511808701989e-05,5.905511808701989e-05
40,-0.65535,0.0,-0.65535,0.0,-7.740354330708661,0.0
60,-0.65535,-0.65536,-2.62146,-0.65535,-19.351240157480316,-7.7404133858267725
80,-3.9322,9.9999999960687e-06,-3.27681,1.9999999999243e-05,-42.572893700787404,0.0001771653543030219
100,-2.62145,0.65537,-3.27681,9.9999999960687e-06,-34.83224409448819,3.8703543307086377
120,-3.27682,9.9999999960687e-06,-3.27681,9.9999999960687e-06,-38.70253937007874,0.00011811023617403978
140,-3.27681,0.0,-3.27681,0.65537,-38.70248031496063,3.8702952755905513
160,-3.27681,0.65535999999999,-3.27681,0.65537,-38.70248031496063,7.740531496062933
180,-3.27681,0.65535999999999,-3.27681,0.0,-38.70248031496063,3.870236220472382
200,-3.27681,0.65535999999999,-3.27681,9.9999999960687e-06,-38.70248031496063,3.8702952755904687
220,-2.62145,0.65535999999999,-2.62146,0.0,-30.96206692913386,3.870236220472382
240,-2.62145,0.0,-2.62146,0.65535999999999,-30.96206692913386,3.870236220472382
260,-1.9661,0.0,-1.9661,0.0,-23.221653543307088,0.0
280,-1.9661,0.65535999999999,-1.96611,0.65535999999999,-23.221712598425196,7.740472440944764
300,-1.96611,0.65535999999999,-1.9661,0.0,-23.221712598425196,3.870236220472382
320,-1.9661,0.0,-1.31074,0.0,-19.351417322834646,0.0
340,-1.31074,0.65535999999999,-1.31074,0.0,-15.481181102362205,3.870236220472382
360,-1.31074,0.0,-1.31074,9.9999999960687e-06,-15.481181102362205,5.905511808701989e-05
380,-1.31075,0.0,-1.31075,9.9999999960687e-06,-15.481299212598426,5.905511808701989e-05
400,-1.31074,0.65535999999999,-1.31075,9.9999999960687e-06,-15.481240157480316,3.8702952755904687
420,-1.31074,0.65535999999999,-1.31074,0.65535999999999,-15.481181102362205,7.740472440944764
440,-1.31074,0.65535999999999,-1.31074,0.65537,-15.481181102362205,7.740531496062933
460,-1.31074,0.65537,-1.31074,0.65537,-15.481181102362205,7.740590551181103
480,-1.31074,0.65535999999999,-1.31074,0.65537,-15.481181102362205,7.740531496062933
500,-1.31074,0.65535999999999,-1.31074,0.0,-15.481181102362205,3.870236220472382
520,-1.31074,0.0,-1.31074,9.9999999960687e-06,-15.481181102362205,5.905511808701989e-05
540,-1.31074,0.65535999999999,-1.31075,0.65537,-15.481240157480316,7.740531496062933
560,-1.31074,1.31073,-1.9661,0.65537,-19.351417322834646,11.610826771653544
580,-1.31074,1.31073,-1.31074,0.65537,-15.481181102362205,11.610826771653544
600,-1.9661,1.31073,-1.9661,1.31074,-23.221653543307088,15.481122047244094
620,-1.31074,1.9661,-1.96609,1.96611,-19.351358267716535,23.221712598425196
640,-1.31073,2.62147,-1.96609,1.96611,-19.351299212598423,27.09200787401575
660,-1.96609,1.31074,-1.96609,1.31075,-23.221535433070866,15.481240157480316
680,-47.84129,1.31074,-1.96609,0.65538,-294.13807086614173,11.610944881889765
700,-1.96609,0.65537,-1.96609,1.9999999999243e-05,-23.221535433070866,3.8704133858267675
720,-1.96609,-0.65536,-2.62145,-0.65534,-27.091771653543308,-7.740354330708663
740,-2.62145,9.9999999960687e-06,-2.62145,-0.65534,-30.962007874015747,-3.870059055118134
760,-2.62145,9.9999999960687e-06,-2.62145,-0.65534,-30.962007874015747,-3.870059055118134
780,-2.62145,9.9999999960687e-06,-3.27681,-0.65535,-34.83224409448819,-3.870118110236243
