T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65535,-0.65536,0.65536,0.0,7.7404133858267725,-3.8702362204724414
40,0.65536,-0.65536,0.65536,-0.65536,7.740472440944883,-7.740472440944883
60,1.31074,-0.65536,5.89834,1.0000000003174e-05,42.57330708661418,-3.8701771653543116
80,7.20908,-0.65535,6.55371,1.0000000003174e-05,81.27631889763781,-3.8701181102362017
100,6.55371,-0.65536,6.55371,-0.65536,77.40602362204724,-7.740472440944883
120,6.5537,-1.31072,6.55369,-1.31072,77.40584645669291,-15.480944881889766
140,5.89832,-1.96609,5.89832,-2.62145,69.6651968503937,-27.091771653543308
160,5.89831,-2.62145,5.24295,-1.96609,65.79484251968505,-27.091771653543308
180,5.24294,-2.62145,5.8983,-2.62145,65.79472440944882,-30.962007874015747
200,5.8983,-2.62146,5.8983,-2.62145,69.66496062992125,-30.96206692913386
220,6.55366,-2.62146,6.55366,-2.62145,77.40543307086614,-30.96206692913386
240,6.55366,-2.62146,7.86438,-2.62146,85.14590551181102,-30.96212598425197
260,7.86438,-3.27682,8.51975,-3.27682,96.75667322834646,-38.70259842519685
280,9.17511,-3.27682,9.83048,-3.93218,112.23773622047246,-42.57283464566929
300,10.48585,-3.93219,10.48585,-3.27683,123.84862204724409,-42.57295275590551
320,11.79658,-4.58756,12.45194,-3.9322,143.1999212598425,-50.31354330708661
340,11.79658,-4.58757,11.79658,-4.58757,139.32968503937008,-54.18389763779528
360,17.03948,-4.58757,57.01667,-1.96611,437.33946850393704,-38.70283464566929
380,76.67776,0.65538,82.57616,0.65539,940.475905511811,7.740767716535434
400,80.61007,0.65538,80.61006,1.9999999999243e-05,952.0873818897637,3.8704724409448774
420,81.26542,1.0000000003174e-05,81.26542,1.0000000003174e-05,959.8277952755907,0.00011811023625796063
440,81.92079,-0.65536,81.92079,-0.65537,967.5683858267716,-7.740531496062992
460,83.2315,-1.31074,83.2315,-0.65538,983.0492125984252,-11.610944881889765
480,83.88686,-1.31075,84.54222,-1.31075,994.6599212598426,-15.481299212598426
500,85.19758,-1.31076,85.19759,-1.31076,1006.270688976378,-15.481417322834645
520,85.85295,-1.96613,87.16368,-1.96612,1021.7517519685041,-23.221948818897637
540,87.16368,-1.96613,89.12977,-1.96612,1041.1030511811025,-23.221948818897637
560,89.78513,-1.96612,90.44049,-2.62148,1064.324527559055,-27.09212598425197
580,91.75121,-2.62148,92.40656,-2.62148,1087.5458858267716,-30.96236220472441
600,93.06193,-3.27684,93.71729,-3.27684,1103.0268897637795,-38.70283464566929
620,94.37264,-3.93221,94.37265,-4.58756,1114.637539370079,-50.31360236220472
640,96.99409,-9.17512,100.27092,-20.31642,1164.950846456693,-174.1626377952756
660,104.20307,-28.18083,104.85843,-28.1808,1234.615157480315,-332.84427165354333
680,103.54774,-28.18077,104.20309,-28.83612,1226.8749803149608,-336.7139173228346
700,103.54774,-29.49146,102.89238,-29.49145,1219.1345669291338,-348.3242716535433
720,102.89238,-30.1468,102.89238,-30.1468,1215.2643307086614,-356.06456692913383
