T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,1.31073,-2.62148,2.62147,-19.351417322834646,23.221653543307088
40,-3.27684,4.58757,-3.27683,5.8983,-38.702775590551184,61.92442913385827
60,-3.93218,7.20905,-3.27682,7.20905,-42.57283464566929,85.1462598425197
80,-3.27682,7.86442,-3.27682,7.20906,-38.70259842519685,89.01661417322835
100,-3.27682,7.86442,-3.27682,7.20906,-38.70259842519685,89.01661417322835
120,-3.27682,7.20906,-3.27682,7.20906,-38.70259842519685,85.14637795275591
140,-3.93218,7.20906,-3.93218,7.20907,-46.44307086614173,85.14643700787401
160,-3.93217,7.20907,-3.93217,6.55371,-46.442952755905516,81.27625984251968
180,-3.93217,6.5537,-3.93217,5.89834,-46.442952755905516,73.53566929133859
200,-3.93217,5.89833,-3.27681,5.24297,-42.572716535433074,65.79507874015748
220,-3.27681,5.89833,-3.27681,4.5876,-38.70248031496063,61.92478346456693
240,-3.27681,3.27686,-1.96609,0.6554,-30.962007874015747,23.22200787401575
260,-0.65539,-4.58754,0.65529,-13.10731,-0.0005905511811022971,-104.49714566929133
280,3.27669,-23.59316,7.2088,-36.04509,61.922185039370085,-352.19438976377955
300,9.17484,-41.28803,10.48556,-39.32192,116.10472440944882,-476.04301181102363
320,9.83022,-34.07898,8.51951,-29.49141,108.3645472440945,-375.41568897637796
340,7.20881,-24.24849,5.8981,-20.31629,77.40301181102362,-263.1778346456693
360,4.5874,-15.72874,3.93206,-13.10727,50.3117716535433,-170.29139763779528
380,3.93207,-10.48581,3.27672,-8.51971,42.57159448818898,-112.23732283464568
400,3.27672,-5.89826,2.62136,-5.89825,34.83118110236221,-69.66442913385826
420,3.27672,-3.93215,2.62137,-3.93216,34.831240157480316,-46.44277559055118
440,2.62136,-2.62143,2.62136,-3.2768,30.960944881889766,-34.83206692913386
460,2.62137,-2.62143,2.62136,-3.2768,30.961003937007874,-34.83206692913386
480,1.96601,-2.62144,1.96601,-2.62143,23.220590551181104,-30.961830708661417
500,1.966,-2.62144,2.62137,-3.93217,27.090767716535435,-38.702421259842524
520,1.966,-3.27681,1.966,-3.93216,23.22047244094488,-42.57265748031496
540,1.31065,-2.62144,1.31064,-3.2768,15.480059055118112,-34.832125984251974
560,1.96601,-2.62144,1.96601,-3.27681,23.220590551181104,-34.83218503937008
580,1.96601,-2.62145,1.96601,-2.62144,23.220590551181104,-30.96194881889764
600,1.31065,-1.96608,1.966,-2.62145,19.35029527559055,-27.091712598425197
620,1.966,-2.62145,1.966,-3.27682,23.22047244094488,-34.832303149606304
640,1.31064,-2.62145,1.966,-3.27682,19.350236220472443,-34.832303149606304
660,1.31064,-2.62145,1.966,-2.62145,19.350236220472443,-30.962007874015747
680,1.31064,-3.27681,1.966,-5.24291,19.350236220472443,-50.313307086614174
700,1.966,-5.89829,2.62136,-6.55365,27.090708661417324,-73.53507874015749
720,2.62135,-7.20902,2.62135,-7.20903,30.960826771653544,-85.14596456692914
740,2.62135,-6.55366,4.58744,-8.51975,42.57159448818898,-89.01620078740156
760,9.1751,-8.51976,9.83062,-8.51976,112.23850393700788,-100.62708661417322
780,8.51996,-7.20903,8.51994,-5.24292,100.62933070866141,-73.53513779527559
800,7.86456,-3.27681,7.20917,-3.27678,89.01809055118112,-38.7023031496063
