T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65537,1.0000000003174e-05,-0.65537,3.8702952755905704,-7.740590551181103
40,0.65537,-0.65537,0.65537,-0.65536,7.740590551181103,-7.740531496062992
60,0.65538,-0.65537,0.65538,-0.65536,7.740708661417322,-7.740531496062992
80,1.0000000003174e-05,-0.65536,1.9999999999243e-05,0.0,0.00017716535434498227,-3.8702362204724414
100,1.9999999999243e-05,-0.65536,-0.65533,1.0000000003174e-05,-3.8699409448818933,-3.8701771653543116
120,-0.65533,0.0,-0.65533,1.0000000003174e-05,-7.74011811023622,5.9055118128980315e-05
140,-0.65532,-0.65535,-0.65533,1.0000000003174e-05,-7.74005905511811,-3.8701181102362017
160,-0.65533,-0.65536,3.9999999998486e-05,-0.65535,-3.8698228346456776,-7.7404133858267725
180,3.0000000002417e-05,-0.65536,3.9999999998486e-05,-0.65536,0.00041338582677698623,-7.740472440944883
200,0.6554,-1.31072,1.31075,-0.65536,11.611122047244095,-11.610708661417323
220,1.31075,-1.31073,1.31075,-1.31073,15.481299212598426,-15.481062992125985
240,1.31075,-1.96609,1.31074,-1.9661,15.481240157480316,-23.221594488188977
260,1.96611,-2.62145,1.9661,-1.96609,23.221712598425196,-27.091771653543308
280,1.31073,-1.96609,1.31074,-1.31073,15.481122047244094,-19.351299212598423
300,1.31073,-1.9661,0.65538,-1.31074,11.610885826771653,-19.351417322834646
320,1.31074,-1.96611,0.65539,-1.96611,11.611003937007874,-23.221771653543307
340,0.65539,-2.62147,0.65538,-2.62147,7.740767716535434,-30.962244094488188
360,0.65537,-2.62147,1.9999999999243e-05,-1.31075,3.8704133858267675,-23.221771653543307
380,0.65537,-1.31075,1.0000000003174e-05,-1.31074,3.8703543307086803,-15.481240157480316
400,0.65536,-1.96611,0.65536,-1.96611,7.740472440944883,-23.221771653543307
420,1.31071,-1.96611,0.65535,-1.31075,11.610590551181103,-19.351535433070868
440,1.3107,-1.31075,0.65535,-0.65538,11.610531496062993,-11.611003937007874
460,0.65535,-0.65538,0.65535,-9.9999999960687e-06,7.740354330708661,-3.8704133858267484
480,0.65535,0.65535,0.65535,0.65535,7.740354330708661,7.740354330708661
500,0.65535,1.31072,0.65535,1.96609,7.740354330708661,19.351240157480316
520,0.65535,1.96609,-1.0000000003174e-05,2.62145,3.8701181102362017,27.091771653543308
540,-1.0000000003174e-05,3.27682,-0.65536,3.27682,-3.8702952755905704,38.70259842519685
560,-0.65537,3.27683,-0.65537,4.58755,-7.740590551181103,46.443188976377954
580,-1.31073,3.9322,-1.31074,4.58755,-15.481122047244094,50.313484251968504
600,-0.65538,4.58755,-1.31073,5.24291,-11.610885826771653,58.05389763779528
620,-1.31074,5.24292,-0.65539,5.89828,-11.611003937007874,65.79448818897637
640,-0.65539,5.24291,-3.0000000002417e-05,5.89828,-3.8705905511811167,65.79442913385827
660,-3.0000000002417e-05,5.89828,-3.9999999998486e-05,5.89828,-0.00041338582677698623,69.66472440944882
680,-3.0000000002417e-05,6.55364,-3.0000000002417e-05,7.20901,-0.00035433070868996455,81.27549212598426
700,-3.0000000002417e-05,7.20901,-3.0000000002417e-05,7.20902,-0.00035433070868996455,85.14584645669292
720,-3.0000000002417e-05,7.20901,-3.0000000002417e-05,7.20902,-0.00035433070868996455,85.14584645669292
740,-3.0000000002417e-05,7.20901,-1.0000000003174e-05,7.86438,-0.00023622047247396258,89.01608267716536
760,-1.0000000003174e-05,7.86438,-0.65537,8.51975,-3.8703543307086803,96.75667322834646
780,-0.65537,7.86439,-0.65537,8.51975,-7.740590551181103,96.75673228346459
800,-0.65537,7.86439,-0.65537,8.51976,-7.740590551181103,96.75679133858267
820,-0.65537,8.51975,-1.31073,8.51975,-11.610826771653544,100.62696850393701
840,-0.65537,8.51975,-1.31073,8.51976,-11.610826771653544,100.62702755905512
860,-0.65539,7.86439,-3.0000000002417e-05,7.86439,-3.8705905511811167,92.88649606299214
880,0.65533,6.55365,0.65531,6.55365,7.739999999999999,77.40531496062992
900,0.65532,6.55363,0.65531,7.209,7.73994094488189,81.27537401574803
920,0.65531,7.20901,-5.000000000166e-05,7.86437,3.869645669291328,89.01602362204724
940,-0.65542,7.86438,-0.65542,8.51974,-7.741181102362205,96.75661417322834
960,-1.31078,8.51974,-1.31078,9.1751,-15.481653543307088,104.49708661417323
980,-1.31077,8.51974,-1.96613,9.1751,-19.351771653543306,104.49708661417323
1000,-1.96613,9.1751,-1.96613,9.1751,-23.22200787401575,108.36732283464568
1020,-1.96613,9.1751,-1.96612,9.83046,-23.221948818897637,112.23755905511811
1040,-1.31077,9.83046,-1.31076,10.48582,-15.481476377952756,119.978031496063
1060,-1.31076,10.48582,-1.31076,10.48582,-15.481417322834645,123.84826771653545
1080,-1.31076,9.83046,-1.31076,10.48581,-15.481417322834645,119.97797244094488
1100,-0.6554,9.83045,-3.0000000002417e-05,9.83046,-3.870649606299227,116.10773622047245
1120,-3.0000000002417e-05,8.51972,-3.9999999998486e-05,8.51972,-0.00041338582677698623,100.62661417322835
1140,0.65532,7.86435,0.65531,7.86435,7.73994094488189,92.88602362204725
1160,0.65531,7.86435,0.65531,8.51971,7.7398818897637796,96.75625984251968
1180,0.6553,7.20898,0.65529,7.20898,7.739704724409449,85.14543307086615
1200,3.93211,7.20897,17.03945,8.51969,123.84779527559056,92.88578740157482
1220,23.59313,9.17506,22.93775,9.83042,274.7886614173229,112.23708661417322
1240,22.28238,9.83042,22.28238,10.48578,263.1777165354331,119.9775590551181
1260,23.5931,9.17506,23.5931,9.83041,278.65866141732283,112.23702755905512
1280,23.5931,8.51968,24.24846,8.51969,282.5288976377953,100.62620078740157
1300,24.24846,8.51968,24.90382,9.17503,290.26937007874017,104.4963188976378
1320,24.90382,7.86431,24.90382,8.51967,294.13960629921263,96.7557874015748
1340,24.90382,8.51966,24.24846,8.51967,290.26937007874017,100.62596456692914
1360,24.24846,8.51967,23.5931,8.51967,282.5288976377953,100.62602362204724
1380,22.93774,8.51966,22.28238,8.51967,267.04795275590556,100.62596456692914
