T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.0000000003174e-05,-0.65535,0.65537,-3.8701771653543307,3.8703543307086803
40,-1.31071,1.0000000003174e-05,-1.3107,9.9999999960687e-06,-15.480767716535434,0.0001181102362160002
60,-1.96607,-0.65535,-2.62143,9.9999999960687e-06,-27.09153543307087,-3.870118110236243
80,-2.62142,2.0000000006348e-05,-3.27678,0.65538,-34.83188976377953,3.8704724409449187
100,-3.93214,0.65539,-4.58749,1.31074,-50.312775590551176,11.611003937007874
120,-5.24285,1.31075,-5.8982,1.96611,-65.79360236220472,19.351535433070868
140,-6.55356,1.31075,-7.20892,2.62147,-81.27448818897638,23.221771653543307
160,-7.86428,2.62147,-8.51963,2.62147,-96.75537401574803,30.962244094488188
180,-9.83036,2.62147,-10.4857,3.27683,-119.97673228346457,34.83248031496063
200,-11.14107,3.27684,-11.79642,3.9322,-135.4576181102362,42.573070866141734
220,-12.45178,4.58757,-13.10714,5.24293,-150.93850393700788,58.054133858267726
240,-13.10714,4.58757,-14.41785,5.89829,-162.54915354330709,61.92437007874016
260,-14.41785,5.8983,-15.07321,6.55366,-174.15980314960632,73.5351968503937
280,-15.07321,5.24294,-17.03932,5.89829,-189.6409251968504,65.79466535433072
300,-21.62692,5.8983,-21.62692,7.20902,-255.43606299212598,77.40543307086614
320,-19.66083,7.86439,-19.66083,9.17511,-232.21452755905514,100.62696850393701
340,-19.00547,9.17511,-19.00547,9.83047,-224.47405511811024,112.23767716535433
360,-19.00548,9.83047,-19.00548,9.83047,-224.47417322834644,116.10791338582678
380,-19.00548,10.48584,-19.00548,10.48583,-224.47417322834644,123.84844488188976
400,-19.66085,11.1412,-19.66085,11.1412,-232.21476377952757,131.58897637795275
420,-20.31621,11.1412,-20.97156,11.1412,-243.82541338582678,131.58897637795275
440,-20.97157,11.1412,-20.97156,11.79656,-247.69564960629918,135.4592125984252
460,-20.97157,10.48584,-20.97156,10.48583,-247.69564960629918,123.84844488188976
480,-20.97156,10.48583,-20.97157,10.48582,-247.69564960629918,123.84832677165355
500,-20.97157,9.83046,-20.97157,10.48581,-247.6957086614173,119.97797244094488
520,-20.97158,9.83045,-21.62693,9.83045,-251.56600393700788,116.10767716535435
