T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.65536,0.0,0.0,0.0,3.8702362204724414
40,0.0,0.65536,0.0,0.0,0.0,3.8702362204724414
60,0.0,0.0,0.65536,0.0,3.8702362204724414,0.0
80,0.0,0.65536,1.0000000003174e-05,0.0,5.9055118128980315e-05,3.8702362204724414
100,0.0,0.65536,1.0000000003174e-05,1.0000000003174e-05,5.9055118128980315e-05,3.8702952755905704
120,1.0000000003174e-05,1.31073,1.0000000003174e-05,0.65538,0.00011811023625796063,11.610885826771653
140,-0.65535,1.31073,-0.65535,1.31073,-7.740354330708661,15.481062992125985
160,-0.65535,1.31073,-0.65535,1.31074,-7.740354330708661,15.481122047244094
180,-0.65535,1.9661,-1.31071,1.31075,-11.610590551181103,19.351476377952757
200,-0.65535,1.9661,-1.31071,1.31074,-11.610590551181103,19.351417322834646
220,-0.65535,1.9661,-0.65535,1.31074,-7.740354330708661,19.351417322834646
240,-1.31071,1.9661,-1.31071,1.31074,-15.480826771653545,19.351417322834646
260,-1.31071,1.9661,-1.31071,1.31074,-15.480826771653545,19.351417322834646
280,-0.65535,1.9661,-1.31071,1.31074,-11.610590551181103,19.351417322834646
300,-1.31071,1.96609,-1.31071,1.31074,-15.480826771653545,19.351358267716535
320,-1.31072,1.9661,-1.31071,1.31074,-15.480885826771654,19.351417322834646
340,-1.31072,1.31074,-1.31071,1.9999999999243e-05,-15.480885826771654,7.740708661417319
360,-1.31072,0.65537,-1.31071,1.9999999999243e-05,-15.480885826771654,3.8704133858267675
380,-1.31072,0.65537,-1.31071,1.9999999999243e-05,-15.480885826771654,3.8704133858267675
400,-1.31072,0.65538,-1.31071,1.9999999999243e-05,-15.480885826771654,3.8704724409448774
420,-1.31072,0.65538,-1.96607,0.65538,-19.351122047244097,7.740708661417322
440,-1.31072,0.65538,-1.96607,0.65539,-19.351122047244097,7.740767716535434
460,-1.96607,1.31075,-1.96607,0.65539,-23.221299212598424,11.611062992125985
480,-1.96608,1.31075,-2.62143,0.65539,-27.091594488188978,11.611062992125985
500,-2.62143,0.65539,-2.62143,0.65539,-30.96177165354331,7.740826771653544
520,-2.62142,1.31075,-2.62142,0.65539,-30.96165354330709,11.611062992125985
540,-2.62142,0.65539,-2.62142,3.0000000002417e-05,-30.96165354330709,3.8705905511811167
560,-2.62142,2.0000000006348e-05,-1.96606,-0.65534,-27.091417322834648,-3.8699999999999624
580,-1.96607,2.0000000006348e-05,-1.96606,1.0000000003174e-05,-23.221240157480317,0.00017716535438694092
600,-1.96607,1.0000000003174e-05,-1.96607,1.0000000003174e-05,-23.221299212598424,0.00011811023625796063
620,-1.96607,1.0000000003174e-05,-1.31071,1.0000000003174e-05,-19.351062992125986,0.00011811023625796063
640,-1.96607,0.0,-1.96607,1.0000000003174e-05,-23.221299212598424,5.9055118128980315e-05
660,-1.96606,0.65536,-1.96606,0.0,-23.221181102362205,3.8702362204724414
680,-1.96606,0.65536,-1.96605,0.0,-23.221122047244098,3.8702362204724414
700,-1.96606,-9.9999999960687e-06,-1.96605,-0.65537,-23.221122047244098,-3.8703543307086377
720,-1.96606,0.65535000000001,-1.96605,0.0,-23.221122047244098,3.8701771653543897
740,-2.62141,-9.9999999960687e-06,-2.62141,-9.9999999960687e-06,-30.961535433070868,-0.00011811023617403978
760,-2.62141,0.65535000000001,-3.27676,-9.9999999960687e-06,-34.8317125984252,3.870118110236302
780,-2.6214,0.65535000000001,-3.27676,0.0,-34.831653543307084,3.8701771653543897
800,-3.27677,0.65535000000001,-3.27676,0.65535,-38.70194881889764,7.740354330708721
820,-3.93212,0.65535000000001,-3.93211,0.65536,-46.4423031496063,7.740413385826831
840,-4.58747,0.65535000000001,-3.9321,-9.9999999960687e-06,-50.31242125984252,3.870118110236302
860,-3.9321,0.65534,-3.9321,-1.9999999999243e-05,-46.44212598425197,3.870000000000005
880,-3.9321,-1.9999999999243e-05,-3.9321,-0.65538,-46.44212598425197,-3.8704724409448774
900,-3.9321,-2.9999999995312e-05,-3.9321,-0.65538,-46.44212598425197,-3.8705314960629638
920,-3.9321,-0.65539,-4.58746,-1.31075,-50.312362204724415,-11.611062992125985
940,-3.9321,-1.31076,-3.9321,-1.96612,-46.44212598425197,-19.351653543307087
960,-3.9321,-1.31077,-3.9321,-1.96613,-46.44212598425197,-19.351771653543306
980,-3.9321,-1.31077,-3.9321,-1.96613,-46.44212598425197,-19.351771653543306
1000,-4.58746,-1.96615,-4.58747,-2.62151,-54.18265748031496,-27.09248031496063
1020,-3.93211,-1.96615,-1.96603,-3.27688,-34.83153543307087,-30.962775590551182
1040,5.000000000166e-05,-3.27688,1.31076,-3.93224,7.741003937007884,-42.57354330708662
1060,2.62148,-3.93225,3.27683,-5.24297,34.83253937007874,-54.18437007874016
1080,3.93218,-5.24297,3.93218,-6.55369,46.44307086614173,-69.66531496062991
1100,3.93218,-5.89833,3.27682,-5.89833,42.57283464566929,-69.66531496062991
1120,2.62145,-5.89833,1.96608,-5.89833,27.091712598425197,-69.66531496062991
1140,1.31072,-5.89834,3.93219,-6.55371,30.96206692913386,-73.5357283464567
1160,8.51988,-6.55372,7.86461,-8.51982,96.75879921259842,-89.01696850393701
1180,6.55387,-7.86446,6.55387,-7.86445,77.40791338582677,-92.88726377952754
1200,6.55386,-6.55372,5.8985,-6.55372,73.53755905511811,-77.40614173228347
1220,5.8985,-5.24301,5.24314,-5.89837,65.79708661417324,-65.79555118110237
1240,5.24314,-5.24301,4.58779,-5.89837,58.05667322834646,-65.79555118110237
1260,4.58779,-5.24301,3.93243,-5.89838,50.316259842519685,-65.79561023622048
1280,3.27708,-5.24302,3.27709,-6.55374,38.705728346456695,-69.66590551181103
1300,2.62173,-6.55375,2.62174,-7.20911,30.965374015748033,-81.27673228346457
1320,2.62174,-7.20911,2.62175,-8.51983,30.965492125984255,-92.8874409448819
1340,1.96639,-7.86448,1.9664,-9.17521,23.22513779527559,-100.6280905511811
1360,1.9664,-8.51985,1.96641,-9.83057,23.225255905511812,-108.3686220472441
1380,1.96641,-9.83058,1.96641,-10.48594,23.225314960629923,-119.97944881889765
1400,1.96641,-9.83059,1.96641,-11.14131,23.225314960629923,-123.84980314960632
1420,2.62176,-10.48596,2.62177,-11.14132,30.965728346456693,-127.72015748031495
1440,2.62176,-11.14132,2.62177,-11.14133,30.965728346456693,-131.59045275590552
1460,2.62176,-11.14133,2.62177,-11.7967,30.965728346456693,-135.46080708661418
1480,2.62176,-11.14134,1.96641,-11.7967,27.09549212598425,-135.46086614173228
1500,1.96641,-11.79671,2.62177,-12.45207,27.095551181102365,-143.20145669291338
1520,1.96641,-12.45208,2.62177,-13.10744,27.095551181102365,-150.94204724409448
1540,1.96647,-12.45208,1.96655,-12.45206,23.226496062992126,-147.07169291338585
1560,1.96657,-13.10742,1.96657,-13.76278,23.22720472440945,-158.68228346456692
1580,1.96657,-13.10743,1.96658,-13.76279,23.227263779527558,-158.68240157480318
1600,1.96658,-13.76279,2.62194,-14.41815,27.09755905511811,-166.42287401574802
1620,2.62193,-14.41816,2.62194,-15.07352,30.967736220472442,-174.16346456692912
1640,2.62194,-14.41816,1.96658,-15.07352,27.09755905511811,-174.16346456692912
1660,2.62194,-14.41816,1.96658,-15.07352,27.09755905511811,-174.16346456692912
1680,2.62194,-15.07352,2.62194,-15.72888,30.96779527559055,-181.90393700787402
1700,2.62194,-15.72889,2.62194,-16.38425,30.96779527559055,-189.64452755905512
1720,1.96658,-15.72889,2.62194,-17.03961,27.09755905511811,-193.51476377952758
1740,1.31124,-18.35035,-2.62078,-18.35037,-7.733503937007874,-216.73653543307086
1760,-1.96533,-18.35037,-0.65458,-19.66109,-15.471909448818899,-224.47712598425198
1780,-0.65459,-19.00573,-0.65458,-19.00573,-7.731318897637795,-224.47712598425198
1800,-0.65458,-19.00572,0.000780000000006,-19.66109,-3.861023622047209,-228.3473031496063
1820,-0.65458,-19.00572,-0.65458,-19.66108,-7.731259842519686,-228.34724409448822
1840,0.0007700000000028,-19.00573,-0.65458,-19.66109,-3.861082677165338,-228.34736220472442
1860,-0.65459,-19.00573,-0.65459,-19.66109,-7.7313779527559054,-228.34736220472442
1880,-0.65459,-19.66109,-0.65459,-19.66109,-7.7313779527559054,-232.21759842519688
1900,-0.65459,-19.66109,-0.65459,-20.31645,-7.7313779527559054,-236.0878346456693
1920,-0.65459,-19.66109,-1.30995,-20.97181,-11.601614173228347,-239.95807086614178
1940,-1.30995,-20.31645,-0.65459,-20.97182,-11.601614173228347,-243.82836614173226
1960,-0.65459,-20.31646,-1.30995,-20.97182,-11.601614173228347,-243.8284251968504
1980,-0.65459999999999,-20.97183,-0.65459,-21.62718,-7.731437007873956,-251.5689566929134
2000,-0.65459,-21.62719,-0.65459,-22.28255,-7.7313779527559054,-259.3094881889764
2020,-0.65459,-21.62719,-0.65458,-22.28255,-7.731318897637795,-259.3094881889764
2040,-1.30995,-21.62719,-0.65459,-22.28256,-11.601614173228347,-259.3095472440945
2060,-0.65459,-22.28256,-0.65459,-22.93792,-7.7313779527559054,-267.0500787401575
2080,-0.65459,-22.93792,-0.65459,-23.59328,-7.7313779527559054,-274.7905511811024
2100,-0.65459999999999,-23.59329,-0.65459,-23.59329,-7.731437007873956,-278.66090551181105
2120,-0.65459,-23.59329,-0.65459,-24.24865,-7.7313779527559054,-282.53114173228346
2140,0.65614,-24.24866,8.52056,-23.5933,54.19311023622048,-282.5312598425197
2160,16.38497,-22.28257,19.00643,-23.59329,209.00433070866146,-270.9204330708662
2180,19.00642,-22.93793,19.00642,-22.93793,224.48527559055117,-270.9204330708662
2200,19.00642,-22.93793,19.00642,-23.59329,224.48527559055117,-274.7906692913386
2220,19.00642,-23.5933,19.00642,-24.24866,224.48527559055117,-282.5312598425197
2240,18.35106,-23.5933,18.35106,-24.24866,216.7448031496063,-282.5312598425197
2260,18.35105,-23.5933,19.00641,-24.24866,220.61492125984253,-282.5312598425197
2280,18.35104,-23.59331,19.0064,-24.90403,220.61480314960627,-286.4016141732284
2300,19.00639,-24.24867,19.00639,-24.90404,224.4849212598425,-290.2719094488189
2320,19.66174,-24.90404,19.66174,-25.55941,232.2252755905512,-298.01250000000005
2340,19.66174,-24.90405,19.66173,-25.55941,232.22521653543308,-298.0125590551181
2360,19.66173,-25.55942,19.66173,-26.21478,232.22515748031495,-305.75314960629925
2380,20.31709,-25.55943,20.31709,-26.21479,239.96562992125985,-305.75326771653545
2400,20.31708,-26.21479,20.97245,-26.87015,243.83580708661418,-313.4937401574803
2420,20.97244,-26.2148,24.90462,-26.21479,270.9275196850394,-309.623562992126
2440,30.14756,-24.2487,32.76902,-25.55942,371.55460629921265,-294.1424409448819
2460,33.42438,-24.90407,33.42438,-25.55943,394.77614173228346,-298.0127952755906
2480,33.42438,-24.24871,33.42437,-25.55942,394.77608267716533,-294.1425
2500,33.42437,-24.90407,33.42437,-25.55942,394.7760236220473,-298.01273622047245
2520,33.42437,-24.90407,33.42437,-25.55943,394.7760236220473,-298.0127952755906
2540,33.42436,-25.55944,34.07972,-26.2148,398.64614173228347,-305.75338582677165
2560,33.42437,-25.55944,34.07973,-26.2148,398.64625984251967,-305.75338582677165
2580,34.07972,-26.2148,34.07972,-26.2148,402.51637795275593,-309.6236220472441
2600,33.42435,-25.55945,34.07973,-26.2148,398.6461417322834,-305.7534448818898
2620,34.07972,-25.55945,33.42436,-26.21481,398.64614173228347,-305.75350393700785
2640,33.42436,-25.55945,32.76901,-26.21481,390.9057283464567,-305.75350393700785
2660,39.978,-25.55946,58.98357,-24.9041,584.4187204724409,-298.01314960629924
2680,70.1248,-24.24875,74.05702,-24.90411,851.4674409448818,-290.27279527559057
2700,74.71237,-24.90411,74.05701,-24.90411,878.5593307086615,-294.143031496063
2720,74.05701,-24.24875,74.05701,-24.90411,874.6890944881891,-290.27279527559057
2740,74.05701,-24.24875,74.05701,-25.55947,874.6890944881891,-294.14303149606303
2760,74.05701,-24.90411,74.05701,-25.55947,874.6890944881891,-298.01326771653544
2780,73.40164,-24.90411,73.40164,-24.9041,866.9485039370079,-294.1429724409449
2800,72.74628,-24.24875,73.40164,-24.9041,863.0782677165355,-290.27273622047244
2820,72.74627,-24.24875,72.74628,-24.9041,859.2079724409449,-290.27273622047244
2840,72.74627,-24.24875,72.74627,-24.90411,859.2079133858267,-290.27279527559057
2860,72.74626,-24.24875,73.40162,-24.90411,863.078031496063,-290.27279527559057
2880,73.40162,-25.55948,73.40162,-25.55948,866.9482677165354,-301.8836220472441
2900,74.05698,-25.55948,74.05698,-26.87021,874.6887401574803,-309.6241535433071
2920,74.05697,-26.21485,74.05482,-26.87021,874.6759251968505,-313.49444881889764
2940,74.71233,-26.21485,74.71233,-27.52557,882.429094488189,-317.3646850393701
2960,75.36769,-26.87021,74.71233,-27.52557,886.2993307086614,-321.23492125984257
2980,74.71232,-26.87021,74.71233,-26.87021,882.4290354330708,-317.3646850393701
3000,74.05696,-26.87022,74.05697,-27.52557,874.6885629921261,-321.23498031496064
3020,74.71232,-26.87022,74.05696,-27.52557,878.5587401574804,-321.23498031496064
3040,74.05696,-26.87021,74.05696,-27.52557,874.6885039370079,-321.23492125984257
3060,74.71232,-26.87022,74.05696,-28.18093,878.5587401574804,-325.1052165354331
3080,74.05696,-27.52558,74.71233,-28.18094,878.5587992125985,-328.97551181102364
3100,74.71233,-27.52558,74.71233,-28.8363,882.429094488189,-332.84574803149604
3120,74.71233,-28.18094,74.71233,-28.83631,882.429094488189,-336.7160433070866
3140,74.71233,-28.18094,74.71233,-28.8363,882.429094488189,-336.7159842519685
3160,75.36769,-28.83631,75.36769,-29.49167,890.1695669291338,-344.4565748031496
3180,75.36769,-30.14704,76.02305,-30.14703,894.0398031496063,-356.06734251968504
3200,76.02304,-30.14705,79.29987,-29.49169,917.2612795275589,-352.1972834645669
3220,83.88745,-28.18096,84.54283,-28.83631,994.6670078740157,-336.71616141732284
3240,84.54281,-28.18096,84.54282,-28.83632,998.5371850393701,-336.71622047244097
3260,84.54281,-28.18096,84.54281,-28.83632,998.537125984252,-336.71622047244097
3280,84.54281,-28.18096,84.54281,-28.83633,998.537125984252,-336.7162795275591
3300,84.54281,-28.18097,84.54281,-28.83633,998.537125984252,-336.71633858267717
3320,84.54281,-28.18097,83.88745,-28.83633,994.6668897637796,-336.71633858267717
3340,83.88744,-28.18097,83.88745,-28.83633,990.796594488189,-336.71633858267717
3360,83.23209,-28.18097,83.23209,-28.83633,983.0561811023622,-336.71633858267717
3380,83.23209,-27.52561,82.57673,-28.18097,979.1859448818898,-328.9758661417323
3400,81.92136,-27.52561,81.26601,-28.18097,963.7049409448819,-328.9758661417323
3420,81.92137,-27.52562,81.26601,-28.18097,963.7049999999999,-328.97592519685037
3440,83.2321,-27.52562,95.02872,-26.21491,1052.721377952756,-317.3653346456693
3460,106.17003,-23.59346,110.10227,-24.90418,1277.198622047244,-286.4033858267716
3480,110.75762,-24.24882,110.75761,-24.24881,1308.160807086614,-286.40332677165355
3500,110.7576,-22.93809,110.75761,-23.59345,1308.160688976378,-274.7925590551181
3520,111.41297,-22.93809,111.41297,-22.93808,1315.901220472441,-270.92226377952755
3540,110.7576,-22.28272,112.06832,-22.28272,1315.9011023622047,-263.1817322834646
3560,112.06832,-21.62736,111.41296,-22.28271,1319.7713385826771,-259.311437007874
3580,111.41295,-21.62735,112.06832,-22.28271,1319.771279527559,-259.31137795275595
3600,112.06831,-20.97199,112.06832,-21.62735,1323.6415157480315,-251.57090551181102
3620,112.06831,-20.97199,112.06831,-21.62735,1323.6414566929134,-251.57090551181102
3640,112.06831,-20.97199,112.06831,-20.97199,1323.6414566929134,-247.7006692913386
3660,112.0683,-20.97199,112.0683,-21.62735,1323.6413385826772,-251.57090551181102
3680,112.0683,-20.31663,112.0683,-20.97199,1323.6413385826772,-243.83043307086615
3700,112.0683,-20.31663,112.0683,-20.97199,1323.6413385826772,-243.83043307086615
3720,112.72366,-20.31663,112.72366,-20.97199,1331.381811023622,-243.83043307086615
3740,112.72365,-20.31663,112.72366,-21.62735,1331.381751968504,-247.7006692913386
3760,112.06829,-20.972,112.72364,-22.9381,1327.5113976377954,-259.31161417322835
3780,110.75754,-24.90419,93.71798,-32.76852,1207.5325984251967,-340.58687007874016
3800,57.6729,-39.32213,3.27773,-46.53109,359.9446653543307,-507.0072047244094
3820,1.96673,-46.53106,1.31118,-49.15252,19.357736220472443,-565.0605118110237
3840,2.62184,-49.80793,3.27719,-51.11866,34.83679133858268,-596.0231692913386
3860,3.93253,-50.46331,3.93252,-51.11867,46.44714566929134,-599.8935826771653
3880,4.58788,-50.46332,4.58787,-51.11868,54.18750000000001,-599.8937007874016
3900,4.58786,-50.46333,4.58786,-51.1187,54.18732283464567,-599.8938779527559
3920,4.58785,-50.46334,4.58784,-50.46335,54.18714566929134,-596.0237598425197
3940,3.93248,-49.80799,3.93248,-50.46335,46.44661417322835,-592.1535826771653
3960,3.93247,-50.46337,4.58783,-51.11873,50.316732283464574,-599.8942913385827
3980,4.58782,-50.46337,4.58782,-51.11874,54.18685039370079,-599.8943503937008
4000,3.93246,-50.46338,0.65562000000001,-50.46337,27.094960629921317,-596.0241141732283
4020,-0.65514,-49.15264,0.0002400000000051,-49.808,-3.8675196850393396,-584.4132283464567
4040,0.65559,-49.15263,0.65558,-49.15263,7.743129921259844,-580.5428740157481
4060,1.31093,-48.49728,1.31093,-48.49727,15.483425196850392,-572.8024606299213
4080,1.31092,-47.84192,1.96628,-48.49728,19.353543307086614,-568.9322834645669
4100,1.96627,-47.84192,1.31091,-47.18655,19.353425196850395,-561.1917519685039
4120,1.96626,-47.18656,1.31346,-47.18656,19.368425196850396,-557.3215748031496
4140,1.3109,-45.87583,1.3109,-46.53119,15.483070866141732,-545.7107480314961
4160,0.65554,-45.87583,1.31089,-46.53119,11.61277559055118,-545.7107480314961
4180,1.31089,-45.87583,0.65553000000001,-45.87582,11.612716535433131,-541.8404527559055
4200,1.31088,-45.22046,0.65551,-45.22046,11.612539370078741,-534.0999212598425
4220,0.65551,-43.90974,0.65551,-44.56509,7.74224409448819,-522.4891535433071
4240,0.6555,-43.90973,0.6555,-43.90973,7.7421259842519685,-518.6188582677166
4260,0.65549,-43.25436,0.65549,-43.90972,7.742007874015749,-514.7485039370079
4280,0.65549,-43.25436,0.0001300000000057,-43.25436,3.871771653543341,-510.87826771653545
4300,0.0001099999999993,-42.599,0.65548,-43.90972,3.871594488188972,-510.87826771653545
4320,4.58771,-42.59901,7.86465,-42.59901,73.53755905511811,-503.1379133858268
4340,7.86471,-42.59901,7.86471,-43.25437,92.89027559055118,-507.00814960629924
4360,7.8647,-42.599,7.8647,-42.599,92.89015748031497,-503.1377952755905
4380,7.8647,-42.599,7.20934,-43.25435,89.01992125984252,-507.0079724409449
4400,6.55397,-42.59899,6.55397,-43.25435,77.40909448818897,-507.0079133858268
4420,6.55397,-43.25436,6.55396,-43.90972,77.40903543307087,-514.7485039370079
4440,6.55397,-43.90972,5.89861,-45.22044,73.53885826771653,-526.3592125984252
4460,5.8986,-44.56509,5.24325,-45.22044,65.79832677165355,-530.2295078740158
4480,5.24324,-45.22045,5.24325,-45.87581,61.9280905511811,-537.9700393700788
4500,4.58788,-45.22045,4.58788,-46.53117,54.187559055118115,-541.8402755905512
4520,4.58788,-45.87582,5.24324,-46.53118,58.05779527559056,-545.7106299212599
4540,5.24324,-45.87582,5.24324,-45.87582,61.92803149606299,-541.8403937007873
4560,5.24324,-45.22046,5.24324,-45.87581,61.92803149606299,-537.9700984251969
4580,5.8986,-44.56509,5.8986,-44.56509,69.66850393700787,-526.3593307086614
4600,5.89859,-43.90972,5.89859,-43.90972,69.66838582677165,-518.6187401574804
4620,5.89858,-43.25436,5.89859,-43.90971,69.66832677165355,-514.7484448818898
4640,5.89858,-43.25435,5.24323,-43.25435,65.7980905511811,-510.87814960629925
4660,5.89859,-42.59899,5.24323,-43.25435,65.7981496062992,-507.0079133858268
4680,5.24323,-43.25435,5.24323,-43.90971,61.92791338582677,-514.7483858267717
4700,5.24323,-43.25435,5.24324,-43.90971,61.927972440944885,-514.7483858267717
4720,5.24323,-43.90971,4.58787,-44.56507,58.05767716535433,-522.4888582677165
4740,4.58787,-43.90972,4.58788,-44.56507,54.18750000000001,-522.4889173228347
4760,4.58788,-44.56507,3.93252,-45.22043,50.31732283464567,-530.2293307086615
4780,3.93252,-44.56508,3.93252,-45.22043,46.44708661417323,-530.2293897637795
4800,3.27716,-45.22044,3.27716,-45.8758,38.706614173228346,-537.9699212598425
4820,3.27715,-45.87581,2.62186,-48.49727,34.836673228346456,-557.3213385826772
4840,0.000550000000004,-47.84194,0.65599,-48.4973,3.8772047244094727,-568.9325196850394
4860,0.65598,-47.84194,0.65597,-47.84193,7.747736220472441,-565.0622244094488
4880,0.65597,-47.18657,0.65596,-47.84193,7.747618110236221,-561.1919291338583
4900,0.65596,-47.84194,1.31132,-48.4973,11.61779527559055,-568.9325196850394
4920,1.96668,-47.84195,1.96667,-49.15267,23.228444881889764,-572.802874015748
4940,1.96667,-49.15268,2.62204,-49.80804,27.098681102362203,-584.4137007874016
4960,2.62203,-49.15268,3.27739,-49.80803,34.83909448818898,-584.4136417322835
4980,3.27739,-49.15268,3.27739,-49.15267,38.70933070866142,-580.5434055118111
5000,3.27738,-48.49731,3.27738,-48.49731,38.7092125984252,-572.802874015748
5020,3.27738,-47.84195,3.27738,-48.49731,38.7092125984252,-568.9326377952756
5040,3.27737,-47.84195,2.62202,-48.49731,34.83891732283465,-568.9326377952756
5060,3.27737,-47.18658,2.62203,-46.53121,34.838976377952754,-553.4515157480315
5080,3.27744,-43.25439,4.5882,-42.59901,46.450629921259846,-507.0082677165354
5100,5.24356,-42.59901,5.24357,-42.59901,61.93187007874016,-503.1379133858268
5120,4.5882,-41.94364,5.24357,-41.94363,58.06163385826771,-495.3972637795276
5140,4.5882,-41.28827,4.5882,-41.28827,54.19133858267716,-487.6567322834645
5160,4.5882,-40.63291,4.5882,-41.28826,54.19133858267716,-483.78643700787404
5180,4.5882,-40.6329,4.5882,-40.6329,54.19133858267716,-479.91614173228345
5200,3.93284,-39.97754,3.93284,-40.63289,46.450866141732284,-476.0458464566929
5220,3.93284,-39.97753,3.93285,-40.63289,46.45092519685039,-476.04578740157484
5240,3.93284,-39.97753,3.93285,-40.63289,46.45092519685039,-476.04578740157484
5260,3.93284,-39.97754,3.93285,-40.63289,46.45092519685039,-476.0458464566929
5280,-46.52987,-39.97753,3.93285,-39.97753,-251.55720472440947,-472.1755511811024
5300,3.93285,-39.97754,3.93286,-39.97753,46.451043307086614,-472.1756102362205
5320,3.93286,-39.97615,3.93286,-39.97753,46.45110236220472,-472.1674015748032
5340,3.93286,-39.32217,3.93286,-39.97753,46.45110236220472,-468.30531496062997
5360,3.93285,-39.97753,3.93286,-40.63288,46.451043307086614,-476.0457283464567
5380,3.93286,-39.97753,3.93286,-40.63289,46.45110236220472,-476.04578740157484
5400,4.58822,-39.97753,3.93286,-39.97752,50.321338582677164,-472.17549212598425
5420,3.93286,-39.97753,4.58822,-39.97753,50.321338582677164,-472.1755511811024
5440,4.58821,-39.97752,3.93286,-40.63288,50.32127952755906,-476.0456692913386
5460,3.93286,-39.97753,4.58822,-40.63288,50.321338582677164,-476.0457283464567
5480,4.58822,-39.97753,4.58822,-40.63289,54.19157480314961,-476.04578740157484
5500,4.58822,-40.6329,4.58822,-41.28825,54.19157480314961,-483.7863188976378
5520,4.58822,-41.28826,4.58822,-41.28826,54.19157480314961,-487.6566141732284
5540,4.58821,-41.28826,4.58822,-41.94363,54.1915157480315,-491.52690944881897
5560,5.24359,-41.28827,14.41873,-40.63291,116.11606299212599,-483.78649606299217
5580,28.83678,-38.66683,34.73506,-39.32218,375.42425196850394,-460.5650196850393
5600,35.39042,-38.66682,35.39042,-38.66682,417.9970866141732,-456.69472440944884
5620,36.04578,-38.01146,36.04579,-38.66681,425.73761811023627,-452.82442913385825
5640,36.04578,-38.01146,36.70114,-38.66681,429.6077952755906,-452.82442913385825
5660,37.3565,-38.01145,36.70115,-38.01145,437.34832677165355,-448.95413385826777
5680,38.01186,-38.01146,38.66722,-38.66682,452.8292125984252,-452.8244881889764
5700,38.66721,-38.01146,38.66722,-38.66682,456.69938976377955,-452.8244881889764
5720,38.66721,-38.01146,38.66722,-38.66682,456.69938976377955,-452.8244881889764
5740,38.66721,-37.3561,38.66721,-38.01146,456.6993307086614,-445.0840157480315
5760,38.66721,-37.3561,38.01185,-38.01146,452.829094488189,-445.0840157480315
5780,38.66721,-37.3561,38.66721,-38.01146,456.6993307086614,-445.0840157480315
5800,38.66721,-37.3561,38.66721,-38.01146,456.6993307086614,-445.0840157480315
5820,38.6672,-37.3561,38.66721,-38.01146,456.69927165354335,-445.0840157480315
5840,39.32256,-37.3561,39.32256,-38.01146,464.43968503937015,-445.0840157480315
5860,39.32256,-37.3561,39.32257,-37.3561,464.43974409448816,-441.21377952755904
5880,39.32256,-36.70074,39.97792,-37.3561,468.3099212598425,-437.3435433070866
5900,39.97792,-37.35611,39.97792,-37.35607,472.18015748031496,-441.2136614173229
