T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65535,0.0,0.65537,0.0,7.740472440944881,0.0
40,0.65535,9.9999999960687e-06,0.65536,0.65536,7.7404133858267725,3.8702952755905278
60,0.65534,9.9999999960687e-06,0.65536,0.65537,7.740354330708663,3.8703543307086377
80,0.65535,0.65537,0.65536,0.65536,7.7404133858267725,7.740531496062992
100,-1.0000000003174e-05,0.65537,0.0,0.65537,-5.9055118128980315e-05,7.740590551181103
120,-1.0000000003174e-05,9.9999999960687e-06,0.65536,0.0,3.8701771653543116,5.905511808701989e-05
140,0.65536,-0.65535,0.65537,-0.65536,7.740531496062992,-7.7404133858267725
160,0.65536,-1.31072,0.65537,-1.96608,7.740531496062992,-19.351181102362204
180,0.65535,-1.96607,0.65537,-1.96608,7.740472440944881,-23.221358267716536
200,0.65536,-1.31072,0.65537,-0.65536,7.740531496062992,-11.610708661417323
220,0.65536,-1.31072,0.65537,-1.31072,7.740531496062992,-15.480944881889766
240,0.65536,-1.31072,0.65537,-1.96608,7.740531496062992,-19.351181102362204
260,0.65536,-1.96608,0.65537,-1.31072,7.740531496062992,-19.351181102362204
280,0.65535,-1.96607,0.65537,-1.96608,7.740472440944881,-23.221358267716536
300,0.65536,-2.62143,0.65537,-1.96608,7.740531496062992,-27.091594488188978
320,0.65536,-2.62144,0.65537,-1.96608,7.740531496062992,-27.091653543307086
340,0.65536,-2.62143,0.65538,-1.96608,7.740590551181103,-27.091594488188978
360,0.65537,-2.62143,0.65538,-1.96608,7.740649606299213,-27.091594488188978
380,0.65537,-2.62144,3.0000000002417e-05,-3.2768,3.8704724409448965,-34.832125984251974
400,9.9999999960687e-06,-3.2768,3.0000000002417e-05,-2.62144,0.00023622047243200217,-34.832125984251974
420,9.9999999960687e-06,-3.2768,-0.65533,-2.62144,-3.8700000000000223,-34.832125984251974
440,1.9999999999243e-05,-3.2768,-0.65533,-3.2768,-3.8699409448818933,-38.70236220472441
460,-0.65534,-3.93216,-0.65533,-3.2768,-7.740177165354331,-42.57259842519685
480,-1.3107,-3.93216,-1.31069,-3.27681,-15.480649606299213,-42.57265748031496
500,-1.31069,-3.93216,-1.31069,-3.93216,-15.480590551181102,-46.44283464566929
520,-1.3107,-3.93216,-1.31068,-3.27681,-15.480590551181102,-42.57265748031496
540,-1.96605,-3.2768,3.2769,-0.65535,7.7412401574803145,-23.221358267716536
560,7.86451,-0.65534,6.5538,0.65537,85.14750000000001,0.00017716535433055802
580,6.55378,1.31074,6.55379,1.9661,77.40690944881891,19.351417322834646
600,6.55378,1.9661,5.89843,1.96609,73.53667322834646,23.221594488188977
620,6.55378,1.9661,5.89843,1.96609,73.53667322834646,23.221594488188977
640,5.89842,1.9661,5.89843,2.62146,69.66643700787401,27.091889763779527
660,5.89843,1.9661,5.89844,2.62146,69.66655511811024,27.091889763779527
680,5.89843,1.9661,5.89844,2.62146,69.66655511811024,27.091889763779527
700,5.89843,2.62146,5.24309,2.62146,65.7963779527559,30.96212598425197
720,5.24307,1.9661,5.24309,1.96609,61.92614173228347,23.221594488188977
740,5.89843,1.31073,5.89844,1.0000000003174e-05,69.66655511811024,7.740590551181121
760,6.55379,-0.65535,3.27696,-0.65534,58.055610236220474,-7.740295275590552
780,1.31084,-0.65533,2.62158,1.9999999999243e-05,23.222952755905514,-3.8699409448818933
800,3.27693,-0.65533,3.93231,1.9999999999243e-05,42.57425196850394,-3.8699409448818933
820,3.9323,-0.65534,3.93231,-0.65534,46.44454724409449,-7.7402362204724415
840,14.4182,3.9999999998486e-05,20.31657,3.9999999998486e-05,205.12659448818897,0.0004724409448640079
860,19.6612,3.9999999998486e-05,19.66118,1.31076,232.21877952755906,7.740944881889755
880,19.0058,1.31076,19.66118,1.96612,228.3483070866142,19.351653543307087
900,19.66117,0.6554,19.66118,1.96612,232.21860236220473,15.481417322834645
920,19.66116,1.96612,19.66117,1.96612,232.2184842519685,23.22188976377953
940,19.66115,1.96612,19.66116,2.62148,232.2183661417323,27.09212598425197
960,19.66115,3.27685,19.66116,3.27684,232.2183661417323,38.7028937007874
980,19.66115,2.62149,19.66116,3.27684,232.2183661417323,34.83265748031496
1000,19.66114,3.27685,19.66115,3.27684,232.21824803149607,38.7028937007874
1020,19.66113,2.62148,19.66115,2.62148,232.21818897637795,30.96236220472441
1040,19.00578,2.62148,22.28262,2.62148,243.82913385826774,30.96236220472441
1060,34.07929,3.93222,44.56527,4.58759,464.4363779527559,50.313838582677164
1080,48.4975,4.5876,48.4975,5.24295,572.8051181102362,58.05442913385827
1100,48.49748,5.24295,48.4975,5.89831,572.805,65.79484251968505
1120,49.15285,6.55367,49.15286,6.55367,580.5455314960631,77.40555118110237
1140,49.15284,6.55367,49.15286,7.20903,580.5454724409449,81.2757874015748
1160,49.15285,7.20903,49.15286,7.86439,580.5455314960631,89.01625984251969
1180,49.8082,7.86439,49.80821,8.51975,588.2858858267717,96.75673228346459
1200,49.8082,8.51975,49.80821,9.83047,588.2858858267717,108.36744094488189
1220,49.8082,9.83047,49.15285,10.48583,584.4156496062992,119.97814960629921
1240,49.15284,10.48583,49.15285,10.48583,580.5454133858268,123.84838582677166
1260,49.15283,10.48583,49.15284,11.14119,580.5452952755907,127.71862204724411
1280,49.15283,10.48583,50.46357,11.14119,588.2858267716535,127.71862204724411
1300,62.91559,13.10731,72.74621,13.10732,801.1523622047245,154.81080708661418
1320,76.02309,13.76269,76.67844,15.07341,901.780688976378,170.29192913385828
1340,76.02306,15.72878,76.02307,17.0395,897.9102165354332,193.51346456692917
1360,76.67841,18.35022,77.33378,20.3163,909.5208070866142,228.3455905511811
1380,77.33376,21.62703,77.33376,23.59311,913.3908661417323,267.04807086614176
1400,77.33375,24.24847,77.33375,25.55919,913.3907480314961,294.13972440944883
1420,77.33373,26.21455,77.33375,28.18064,913.3906299212599,321.23143700787404
1440,77.33373,28.836,77.9891,30.14672,917.2608070866142,348.32314960629924
1460,77.98908,30.80209,77.98909,32.1128,921.1309251968504,371.544625984252
1480,77.98908,32.76816,77.98909,33.42352,921.1309251968504,390.8957480314961
1500,77.98907,33.42352,78.64443,33.42352,925.0009842519685,394.7659842519686
1520,78.64442,33.42352,79.29979,34.07889,932.7413976377953,398.63627952755905
1540,79.95514,33.42353,79.95514,34.07889,944.3520472440945,398.6363385826772
1560,79.95512,34.73425,79.95513,34.73425,944.3518700787401,410.2470472440945
1580,79.9551,34.73425,79.95512,35.38961,944.3516929133857,414.117283464567
1600,79.29973,34.73424,78.64438,34.73424,932.7408070866142,410.24692913385826
1620,85.19806,34.73426,94.37331,34.73427,1060.460846456693,410.24722440944885
1640,99.61629,34.07891,99.6163,34.73427,1176.5704133858267,406.3770472440945
1660,98.9609,34.73427,98.30556,34.73426,1164.9594094488189,410.24722440944885
1680,98.9609,34.73426,98.30555,34.73425,1164.9593503937008,410.24710629921265
1700,98.30554,34.73425,98.30554,34.73425,1161.08905511811,410.2470472440945
1720,97.65017,34.07889,96.99481,33.42352,1149.4782283464567,398.63627952755905
1740,96.9948,32.76816,95.68408,32.11279,1137.8674015748031,383.15521653543306
1760,95.68406,30.80207,94.37334,30.1467,1122.386220472441,359.93368110236224
1780,93.06259,27.52525,93.06259,25.55916,1099.1644488188977,313.49061023622045
1800,91.75185,20.97162,90.44113,19.00552,1075.9427952755907,236.08547244094493
1820,89.13039,16.38407,87.81966,14.41798,1044.9806102362206,181.90187007874016
1840,86.50892,11.14117,84.54285,8.51971,1010.1482480314961,116.1075590551181
1860,83.23211,5.24291,73.40161,3.0000000002417e-05,925.002283464567,30.962244094488206
1880,40.63316,-11.14111,3.27718,-20.31618,259.313031496063,-185.77139763779527
1900,-23.59289,-24.24833,-28.18046,-23.593,-305.7481299212599,-282.5275393700787
1920,-25.55901,-22.28227,-24.24827,-20.97156,-294.13748031496067,-255.43600393700788
1940,-24.90365,-19.66084,-24.90364,-18.35013,-294.13753937007874,-224.47423228346457
1960,-24.2483,-17.0394,-23.59293,-16.38404,-282.52694881889767,-197.38251968503937
1980,-23.59294,-15.07333,-22.93757,-13.76261,-274.78647637795274,-170.29098425196852
2000,-22.93759,-13.10725,-23.59294,-12.45189,-274.786594488189,-150.9398031496063
2020,-22.93759,-12.45189,-23.59295,-11.14117,-274.7866535433071,-139.32909448818899
2040,-23.59297,-11.14117,-23.59296,-10.48581,-278.65706692913386,-127.71838582677168
2060,-27.52517,-11.79652,-41.28789,-13.7626,-406.37633858267714,-150.9396850393701
2080,-42.59863,-13.7626,-40.63253,-11.79652,-491.52259842519686,-150.9396850393701
2100,-39.97719,-11.14116,-39.97718,-9.83044,-472.17147637795273,-123.84803149606299
2120,-40.63256,-9.83044,-41.28791,-9.17509,-483.78230314960626,-112.23738188976378
2140,-40.63256,-9.83044,-40.63255,-9.83044,-479.9120669291339,-116.1075590551181
2160,-41.28793,-9.83044,-41.28792,-9.83044,-487.652657480315,-116.1075590551181
2180,-41.28794,-10.4858,-40.63258,-10.48581,-483.78259842519685,-123.8480905511811
2200,-40.6326,-11.14116,-40.6326,-10.4858,-479.91259842519685,-127.71826771653542
2220,-40.63261,-11.79652,-38.6665,-11.14116,-468.30183070866144,-135.45874015748032
2240,-28.83597,-9.83043,-21.62688,-9.83043,-298.0089566929134,-116.10744094488189
2260,-20.31616,-9.83042,-20.97154,-9.17508,-243.82500000000002,-112.23720472440947
2280,-20.97156,-9.17507,-20.97156,-8.51971,-247.6955905511811,-104.49673228346458
2300,-20.97158,-9.17507,-20.97158,-8.51971,-247.69582677165354,-104.49673228346458
2320,-21.62695,-8.51971,-21.62694,-8.51972,-255.43635826771654,-100.62655511811023
