T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-7.20906,-0.65535999999999,-1.96611,-1.9999999999243e-05,-54.184074803149606,-3.8703543307085977
40,-6.5537,-9.9999999960687e-06,-1.96611,-1.9999999999243e-05,-50.313838582677164,-0.0001771653543030219
60,-6.5537,-9.9999999960687e-06,-1.31076,0.65534,-46.443661417322836,3.870059055118134
80,-6.5537,-9.9999999960687e-06,-1.31075,-2.9999999995312e-05,-46.44360236220472,-0.0002362204723900435
100,-5.89834,-0.65537999999999,-0.65539,-0.65539,-38.703129921259844,-7.740767716535374
120,-5.89834,-0.65539,-0.65539,-0.6554,-38.703129921259844,-7.740885826771653
140,-5.89833,-1.96611,-0.65539,-1.31076,-38.703070866141736,-19.35159448818898
160,-6.55369,-1.96612,-0.65539,-1.96612,-42.57330708661418,-23.22188976377953
180,-6.55369,-2.62148,-1.31074,-2.62149,-46.443484251968506,-30.962421259842518
200,-6.55368,-3.27685,-0.65538,-2.6215,-42.573188976377956,-34.832775590551186
220,-6.55368,-3.27685,-0.65537,-3.27686,-42.57312992125985,-38.70301181102363
240,-5.89832,-3.93222,-0.65538,-3.93222,-38.702952755905514,-46.443543307086614
260,-5.89832,-4.58759,-0.65537,-3.93223,-38.7028937007874,-50.31389763779527
280,-5.24296,-4.58759,-1.9999999999243e-05,-4.5876,-30.962480314960633,-54.18419291338583
300,-5.24296,-5.24296,-9.9999999960687e-06,-4.58761,-30.962421259842497,-58.054547244094486
320,-4.5876,-5.24296,0.65535000000001,-4.58761,-23.22194881889758,-58.054547244094486
340,-4.58759,-5.89833,0.65535000000001,-5.24297,-23.221889763779465,-65.79507874015748
360,-4.58759,-5.24297,1.31071,-5.24298,-19.351653543307084,-61.92490157480316
380,-3.93223,-5.89833,1.31072,-5.24298,-15.481358267716535,-65.7951377952756
400,-3.93222,-6.5537,1.96608,-6.55372,-11.611062992125985,-77.40602362204726
420,-3.27686,-7.86444,-3.93222,-8.5198,-42.57330708661418,-96.75732283464566
440,-17.69495,-9.17517,-13.76274,-9.17519,-185.7737598425197,-108.36826771653543
460,-17.69495,-9.83056,-11.79664,-9.17521,-174.16293307086613,-112.23879921259842
