T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,1.0000000003174e-05,9.9999999960687e-06,5.9055118128980315e-05,5.905511808701989e-05
40,0.0,0.0,1.0000000003174e-05,9.9999999960687e-06,5.9055118128980315e-05,5.905511808701989e-05
60,-0.65536,-0.65536,0.0,0.0,-3.8702362204724414,-3.8702362204724414
80,-0.65536,-0.65536,-0.65535,0.0,-7.7404133858267725,-3.8702362204724414
100,-0.65536,-0.65536,1.0000000003174e-05,-0.65536,-3.8701771653543116,-7.740472440944883
120,9.9999999960687e-06,-1.31073,0.65538,-1.31073,3.8704133858267484,-15.481062992125985
140,0.65537,-1.96609,0.65538,-1.96609,7.740649606299213,-23.221535433070866
160,0.65537,-2.62146,1.31074,-1.96609,11.610885826771653,-27.09183070866142
180,1.31073,-2.62146,1.31074,-1.9661,15.481122047244094,-27.091889763779527
200,1.31073,-2.62146,1.31074,-2.62146,15.481122047244094,-30.96212598425197
220,1.31074,-3.27683,1.31074,-2.62147,15.481181102362205,-34.83248031496063
240,1.31074,-3.27683,1.31074,-3.27682,15.481181102362205,-38.70265748031496
260,1.31074,-3.93219,1.31075,-3.27683,15.481240157480316,-42.57295275590551
280,0.65538,-3.27683,0.65539,-2.62147,7.740767716535434,-34.83248031496063
300,0.65539,-3.27683,0.6554,-2.62146,7.740885826771653,-34.83242125984252
320,0.65539,-2.62146,3.9999999998486e-05,-1.9661,3.870649606299203,-27.091889763779527
340,3.9999999998486e-05,-2.62146,3.9999999998486e-05,-1.9661,0.0004724409448640079,-27.091889763779527
360,-0.65532,-2.62146,3.9999999998486e-05,-1.9661,-3.8697637795275677,-27.091889763779527
380,-0.65532,-2.62147,-0.65532,-1.9661,-7.74,-27.09194881889764
400,-1.31069,-2.62146,-1.31068,-1.96609,-15.480531496062994,-27.09183070866142
420,-1.96605,-2.62146,2.62153,-0.65538,3.870944881889763,-19.351417322834646
440,9.17522,-1.31074,9.17523,-0.65538,108.36879921259842,-11.610944881889765
460,7.86449,-0.65537,7.20913,0.0,89.0174409448819,-3.8702952755905513
480,7.20912,-0.65536,7.86449,0.0,89.01738188976378,-3.8702362204724414
500,7.86447,0.0,7.86448,0.65537,92.8875,3.8702952755905513
520,7.86447,0.65537,7.86448,1.9661,92.8875,15.481122047244094
540,5.24302,2.62148,-3.93211,4.58758,7.741594488188973,42.573188976377956
560,-5.24283,5.89831,-4.58745,7.20905,-58.052834645669286,77.40566929133858
580,-5.24283,7.20905,-5.24282,8.51977,-61.92312992125984,92.88673228346455
600,-5.24282,7.86441,-5.24281,8.51978,-61.92301181102363,96.75702755905512
620,-5.24282,7.86442,-5.24281,8.51979,-61.92301181102363,96.75714566929133
640,-5.24282,8.51978,-5.2428,9.83051,-61.92295275590552,108.36785433070867
660,-5.24281,9.17514,-5.24281,9.83051,-61.92295275590552,112.2380905511811
680,-5.24281,9.83051,-5.2428,11.14124,-61.92289370078741,123.84891732283465
700,-5.89817,10.48587,-5.89816,11.14124,-69.6633661417323,127.71915354330709
720,-5.24281,11.14124,-5.89816,11.79661,-65.79312992125985,135.4597440944882
740,-5.89817,11.14123,-5.2428,11.7966,-65.79312992125985,135.45962598425197
760,-5.24281,11.14123,-5.2428,11.79659,-61.92289370078741,135.45956692913384
780,-5.24281,11.79659,-5.2428,12.45195,-61.92289370078741,143.20003937007874
800,-5.24281,11.79659,-5.2428,13.10731,-61.92289370078741,147.07027559055118
820,0.65549,11.79657,4.58772,13.76266,30.96383858267717,150.94033464566928
840,3.93235,13.1073,3.93234,13.76266,46.44501968503938,158.68086614173228
860,3.93235,13.1073,3.93235,13.76266,46.445078740157484,158.68086614173228
880,3.93235,13.10729,3.93236,13.1073,46.44513779527559,154.81057086614175
900,3.93235,12.45193,3.93236,12.45193,46.44513779527559,147.07003937007875
920,3.93235,12.45193,3.277,12.45193,42.57490157480315,147.07003937007875
940,3.27699,11.79657,3.277,12.45193,38.704665354330714,143.1998031496063
960,3.277,11.79656,3.277,11.79656,38.70472440944882,139.32944881889765
980,3.277,11.1412,3.93237,11.1412,42.57501968503937,131.58897637795275
1000,3.277,10.48583,3.277,10.48583,38.70472440944882,123.84838582677166
1020,3.27699,9.83047,3.277,10.48583,38.704665354330714,119.97814960629921
1040,4.58773,9.83046,15.72898,13.10726,119.98057086614173,135.45897637795275
1060,19.66121,12.45191,19.6612,12.45191,232.21895669291337,147.06980314960632
1080,19.00583,12.45191,19.00584,12.45192,224.4783661417323,147.06986220472442
1100,19.00583,11.79655,19.00584,12.45191,224.4783661417323,143.19956692913388
1120,19.00583,11.14118,19.00584,11.79655,224.4783661417323,135.45903543307085
1140,19.00583,11.14118,19.6612,11.79654,228.3486023622047,135.45897637795275
1160,19.6612,11.14117,19.6612,11.79653,232.2188976377953,135.45885826771655
1180,19.66119,11.14176,19.6612,11.14117,232.21883858267717,131.59210629921262
1200,19.00583,10.4858,19.6612,11.14117,228.3486023622047,127.71832677165355
1220,19.66119,10.4858,19.6612,10.48581,232.21883858267717,123.8480905511811
1240,19.66119,9.83044,19.6612,9.83044,232.21883858267717,116.1075590551181
1260,19.00583,9.17507,19.6612,9.83044,228.3486023622047,112.23726377952757
1280,19.00583,9.17507,19.00584,9.17508,224.4783661417323,108.36702755905512
1300,19.00583,8.51971,19.66119,8.51971,228.34854330708663,100.62649606299213
1320,22.28265,9.17506,35.39001,13.10725,340.58657480314963,131.58844488188976
1340,40.63297,13.10725,39.32225,13.10726,472.1764960629921,154.81009842519686
1360,39.32223,13.10726,39.32224,13.76263,464.4358464566929,158.68045275590552
1380,38.66687,13.10727,38.66687,13.76263,456.69531496062996,158.68051181102362
1400,38.66686,13.10727,38.01151,13.76264,452.82501968503936,158.68057086614175
1420,38.0115,13.10727,38.0115,13.10728,448.95472440944883,154.8103346456693
1440,38.0115,12.45191,38.01151,12.45191,448.95478346456696,147.06980314960632
1460,37.35614,11.79655,37.35614,12.45192,441.214251968504,143.19962598425198
1480,36.70077,11.79655,37.35614,12.45192,437.3439566929134,143.19962598425198
1500,36.70078,11.14119,36.70078,11.79656,433.4737795275591,135.4591535433071
1520,36.70077,11.14119,36.70078,11.79656,433.47372047244096,135.4591535433071
1540,36.70077,11.14119,37.35614,11.79656,437.3439566929134,135.4591535433071
1560,36.04542,11.14119,36.70078,11.1412,429.6035433070866,131.58891732283465
1580,36.04541,10.48583,36.04542,11.1412,425.73324803149603,127.71868110236221
1600,36.04541,10.48584,36.04541,11.14121,425.7331889763779,127.71879921259841
1620,36.04541,10.48584,36.04541,11.14121,425.7331889763779,127.71879921259841
1640,35.39005,10.48584,36.04542,11.14121,421.8630118110237,127.71879921259841
1660,35.39004,9.83048,35.39005,10.48585,417.99265748031496,119.97832677165356
1680,35.39005,9.83048,35.39006,10.48585,417.9927755905512,119.97832677165356
1700,35.39005,10.48584,35.39006,10.48585,417.9927755905512,123.84856299212598
1720,35.39005,10.48584,35.39006,11.14121,417.9927755905512,127.71879921259841
1740,34.73469,10.48584,34.73469,11.79658,410.2522440944882,131.58909448818898
1760,34.07932,11.14121,34.07932,12.45194,402.51165354330715,139.32962598425198
1780,33.42396,11.79658,32.7686,12.45194,390.90094488188976,143.1999212598425
1800,34.73468,12.45194,43.90987,16.38412,464.43631889763776,170.29169291338584
1820,48.49748,15.72875,47.84211,15.72875,568.9345866141732,185.77263779527559
1840,47.18673,15.07339,46.53138,15.0734,553.4534055118111,178.03222440944882
1860,46.53137,14.41803,46.53137,14.41804,549.5831102362205,170.29175196850395
1880,46.53137,13.10731,46.53137,13.76267,549.5831102362205,158.6809842519685
1900,45.876,12.45195,46.53137,12.45195,545.7128149606299,147.07027559055118
1920,46.53136,11.79659,46.53137,12.45195,549.5830511811024,143.20003937007874
1940,46.53136,11.79658,46.53137,12.45195,549.5830511811024,143.19998031496064
1960,46.53136,11.79657,47.18673,11.79657,553.4532874015748,139.32956692913385
1980,46.53137,9.83048,47.8421,9.83048,557.3236417322835,116.10803149606299
2000,47.8421,7.86439,47.84211,7.20901,565.0642322834645,89.01614173228346
2020,47.84211,6.55363,48.49747,6.55363,568.9345275590551,77.40507874015748
2040,48.49748,5.2429,47.84213,5.2429,568.9347047244095,61.92401574803149
2060,47.84213,4.58752,55.05117,7.86434,607.6375984251969,73.5346062992126
2080,66.19244,11.79653,68.15858,12.45189,793.4115354330709,143.19933070866142
2100,66.84785,12.45189,67.5032,13.10726,793.4117125984251,150.93986220472442
2120,67.5032,12.45191,66.84784,12.45192,793.4116535433071,147.06986220472442
2140,66.84782,12.45191,66.19247,12.45193,785.6710039370079,147.06992125984252
2160,65.5371,11.79656,65.5371,12.45193,774.0602362204725,143.19974409448818
2180,64.88173,11.79656,65.5371,11.79657,770.189940944882,139.32950787401575
2200,64.88173,11.79657,64.88174,12.45193,766.3197047244093,143.1998031496063
2220,64.88173,11.79656,65.5371,12.45193,770.189940944882,143.19974409448818
2240,64.88174,11.79656,64.88174,12.45193,766.3197637795275,143.19974409448818
2260,64.88174,11.79656,64.88174,12.45193,766.3197637795275,143.19974409448818
2280,64.88173,11.79656,64.88174,12.45193,766.3197047244093,143.19974409448818
2300,64.88173,12.45192,70.78004,13.76265,801.15218503937,154.81045275590552
2320,77.33377,14.41801,77.98915,15.07338,917.2613385826772,174.16175196850395
2340,77.33377,14.41802,77.33378,15.07339,913.3910433070866,174.16187007874015
2360,76.67842,14.41802,77.33378,14.41803,909.5208661417323,170.29163385826772
2380,77.33377,13.76266,77.98914,14.41803,917.2612795275592,166.42139763779528
2400,77.33377,13.76266,77.98914,14.41803,917.2612795275592,166.42139763779528
2420,77.98913,13.76266,77.98914,13.76266,921.1315157480316,162.55110236220474
2440,77.98913,13.1073,79.29986,13.76266,928.8719881889765,158.68086614173228
2460,87.1643,17.03949,92.40728,17.69486,1060.4620866141731,205.12411417322835
2480,92.40728,16.38412,92.40728,17.03949,1091.4245669291338,197.38352362204722
2500,91.75191,17.03949,92.40728,17.03949,1087.5542716535433,201.2538188976378
2520,91.75191,17.03948,92.40729,17.03949,1087.5543307086614,201.25375984251968
2540,92.40728,16.38412,93.06264,17.69485,1095.2948031496064,201.25375984251968
2560,92.40728,17.03948,92.40729,17.69484,1091.424625984252,205.123937007874
2580,92.40728,17.03947,92.40729,17.69484,1091.424625984252,205.12387795275592
2600,92.40729,17.03948,92.40729,17.69484,1091.4246850393702,205.123937007874
2620,92.40729,17.03947,92.4073,17.69484,1091.4247440944882,205.12387795275592
2640,91.75194,17.69483,91.75195,17.69484,1083.6843897637796,208.99411417322833
2660,91.75194,17.69484,91.75195,18.3502,1083.6843897637796,212.86440944881892
2680,91.75194,18.3502,91.09659,19.00557,1079.8141535433072,220.6049409448819
2700,91.09658,18.3502,91.09659,19.00557,1075.9439173228347,220.6049409448819
2720,91.09659,18.3502,91.09659,18.35021,1075.9439763779528,216.73470472440948
2740,90.44123,17.69485,90.44123,17.69485,1068.203503937008,208.99429133858266
2760,84.54291,15.72878,56.36201,12.45201,832.1156692913386,166.42198818897637
2780,20.31675,7.8645,-7.20859,4.58766,77.4103937007874,73.5363779527559
2800,-13.76219,4.58761,-8.5193,6.55373,-131.58360236220474,65.79531496062992
2820,-8.51932,6.55373,-7.86396,7.20909,-96.75165354330709,81.27649606299212
2840,-7.20861,6.55372,-6.55325,7.20909,-81.27082677165355,81.27643700787402
2860,-6.55327,5.89836,-5.89792,5.89836,-73.53064960629922,69.66566929133859
2880,-5.24257,5.24299,-5.24258,5.89835,-61.92017716535434,65.79531496062992
2900,-5.24259,5.24298,-4.58723,5.24299,-58.05011811023622,61.92501968503937
2920,-5.24261,5.24298,-5.24261,5.24298,-61.92059055118111,61.924960629921266
2940,-5.24262,5.24297,-9.17481,8.51981,-85.14230314960629,81.27625984251968
2960,-9.83018,8.51982,-8.51945,8.51981,-108.36395669291339,100.62773622047244
2980,-8.51946,7.86444,-8.51945,7.86444,-100.62348425196852,92.88708661417323
3000,-8.51946,6.55371,-7.86409,6.55371,-96.75324803149606,77.40602362204724
3020,-7.8641,5.89834,-7.20874,6.55371,-89.01283464566929,73.5357283464567
3040,-7.20874,5.89834,-7.20874,5.89834,-85.14259842519685,69.66543307086614
3060,-7.86411,5.89833,-7.20874,5.89833,-89.01289370078739,69.66531496062991
3080,-7.86411,5.24297,-7.20875,5.24298,-89.01295275590552,61.92490157480316
3100,-7.20875,4.5876,-6.55339,5.24297,-81.27248031496063,58.054547244094486
3120,-6.55339,3.93224,-5.24266,4.5876,-69.66171259842521,50.3140157480315
3140,7.20929,5.24295,17.03984,7.20903,143.20352362204724,73.53531496062993
3160,17.6952,6.55366,17.03984,7.20904,205.12818897637794,81.2757874015748
3180,17.03983,6.55367,17.6952,7.20904,205.1281299212598,81.27584645669292
