T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.0000000003174e-05,-0.65535,0.65535999999999,-3.8701771653543307,3.870177165354253
40,1.0000000003174e-05,-1.0000000003174e-05,-0.65535,0.0,-3.8701181102362017,-5.9055118128980315e-05
60,1.0000000003174e-05,-1.0000000003174e-05,-0.65535,0.65535999999999,-3.8701181102362017,3.870177165354253
80,0.0,-1.0000000003174e-05,1.0000000003174e-05,0.65535999999999,5.9055118128980315e-05,3.870177165354253
100,1.31072,-1.0000000003174e-05,1.31072,9.9999999960687e-06,15.480944881889766,-4.196042485389578e-14
120,1.96608,-0.65536,1.96608,-0.65535000000001,23.221417322834647,-7.740413385826831
140,2.62143,-0.65535,1.96607,-0.65534,27.09153543307087,-7.740295275590552
160,2.62144,-1.31071,2.62144,1.9999999999243e-05,30.96188976377953,-7.740295275590556
180,3.93216,-0.65534,2.62144,2.9999999995312e-05,38.70236220472441,-3.8699409448819173
200,3.93216,1.9999999999243e-05,3.2768,1.9999999999243e-05,42.57259842519685,0.00023622047243200396
220,3.93216,1.9999999999243e-05,3.2768,1.9999999999243e-05,42.57259842519685,0.00023622047243200396
240,3.93216,1.9999999999243e-05,3.27681,1.9999999999243e-05,42.57265748031496,0.00023622047243200396
260,3.93217,1.9999999999243e-05,3.27681,0.65539,42.572716535433074,3.8705314960629873
280,3.93217,1.9999999999243e-05,3.93217,0.65539,46.442952755905516,3.8705314960629873
300,3.93216,0.65538,3.27681,1.31075,42.57265748031496,11.611003937007874
320,3.93217,0.65538,3.2768,1.31075,42.57265748031496,11.611003937007874
340,4.58753,0.65538,3.93216,1.96611,50.31312992125985,15.481240157480316
360,4.58751,1.31074,3.93215,1.96611,50.31295275590551,19.351476377952757
380,4.58751,1.31075,3.93216,2.62147,50.31301181102362,23.221771653543307
400,4.5875,1.9661,3.93215,1.96611,50.312893700787406,23.221712598425196
420,4.58752,1.9661,3.93216,2.62147,50.31307086614173,27.09194881889764
440,4.58752,2.62146,3.93216,3.27683,50.31307086614173,34.83242125984252
460,4.58752,2.62147,3.2768,3.27683,46.44283464566929,34.83248031496063
480,3.93216,3.27682,3.2768,3.93219,42.57259842519685,42.572893700787404
500,3.93216,3.27682,2.62144,3.93219,38.70236220472441,42.572893700787404
520,3.93216,3.27683,3.2768,3.93219,42.57259842519685,42.57295275590551
540,3.93216,3.27682,3.2768,3.93219,42.57259842519685,42.572893700787404
560,3.27679,3.93218,2.62143,3.93219,34.83200787401575,46.443129921259846
580,3.2768,3.93218,2.62144,4.58754,34.832125984251974,50.313307086614174
600,3.27679,3.93218,2.62143,5.2429,34.83200787401575,54.183543307086616
620,3.2768,4.58753,1.96608,5.89826,30.96188976377953,61.923956692913386
640,2.62143,5.2429,1.96606,5.24291,27.091476377952755,61.924074803149615
