T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.0000000003174e-05,0.65535,-1.31074,3.8701771653543307,-7.740649606299232
40,-2.0000000006348e-05,-1.96613,0.65534,-2.62149,3.8699999999999624,-27.09224409448819
60,-2.0000000006348e-05,-2.6215,1.3107,-5.24296,7.740236220472403,-46.443661417322836
80,1.3107,-7.20907,1.31069,-9.17517,15.480649606299213,-96.75732283464566
100,1.31069,-9.83054,1.96606,-10.48589,19.350885826771652,-119.97891732283463
120,0.65534,-10.48589,1.96606,-10.48588,15.480708661417323,-123.84903543307087
140,0.65534,-10.48587,1.96606,-10.48587,15.480708661417323,-123.84885826771654
160,1.3107,-9.8305,1.96606,-9.83051,19.350944881889763,-116.10832677165355
180,1.96606,-9.17515,2.62142,-9.17516,27.091417322834648,-108.36797244094488
200,1.96606,-8.51979,3.27678,-8.5198,30.96165354330709,-100.62750000000001
220,2.62142,-7.86444,3.27678,-7.86445,34.83188976377953,-92.88714566929134
240,2.62142,-8.51982,2.62141,-10.48594,30.961594488188975,-112.23874015748031
260,2.6214,-11.14132,3.27676,-11.79668,34.831653543307084,-135.46062992125985
280,2.6214,-11.79668,2.6214,-11.79668,30.961417322834645,-139.3308661417323
300,1.96604,-12.45204,2.62139,-13.76277,27.0911220472441,-154.81187007874016
320,1.96603,-14.41815,2.62138,-15.07353,27.091003937007876,-174.16346456692912
340,1.96602,-14.41816,1.96603,-13.76279,23.220767716535434,-166.42293307086615
360,1.96603,-13.76278,1.96603,-13.10742,23.22082677165354,-158.68228346456692
380,1.31066,-13.76278,1.96602,-14.41816,19.35047244094488,-166.42287401574802
400,1.31065,-17.03963,0.65527,-29.49158,11.609763779527558,-274.7906102362205
420,-7.8643,-65.53672,-19.00512,-137.62709,-158.67767716535434,-1199.7862795275591
440,-28.83492,-237.89824,-20.96966,-281.80824,-294.1215354330709,-3069.132755905512
460,-24.24548,-281.80834,-39.97454,-281.80784,-379.25208661417327,-3328.442007874016
480,-42.59653,-281.80733,-41.28588,-281.80754,-495.36856299212593,-3328.4342716535434
500,-13.76021,-281.80795,3.27939,-281.80807,-61.89460629921261,-3328.4410629921263
520,3.93446,-281.80796,4.58917,-271.32192,50.33639763779528,-3266.5150393700787
540,3.27766,-242.48578,0.6558,-212.99428,23.229094488188977,-2689.842874015748
560,-4.58735,-186.12424,-6.55357,-161.2203,-65.79283464566929,-2051.247283464567
580,-9.1751,-138.28244,-8.51978,-118.62142,-104.49732283464569,-1517.148779527559
600,-7.86446,-102.23723,-6.55377,-87.81916,-85.14702755905513,-1122.3802559055118
620,-5.89841,-75.36718,-4.5877,-66.19201,-61.925846456692916,-835.979468503937
640,-4.5877,-57.67223,-3.27697,-52.42928,-46.444901574803154,-650.2057677165354
660,-3.27697,-46.53099,-2.6216,-42.59879,-34.83407480314961,-526.3569685039371
680,-2.6216,-38.6666,-1.96623,-34.7344,-27.093484251968505,-433.47047244094495
700,-1.96622,-32.11293,-1.31086,-30.14683,-19.352834645669294,-367.6757480314961
720,-1.31086,-28.18074,-0.0001499999999978,-28.83612,-7.7421850393700655,-336.71374015748034
740,-0.65551,-28.83613,-0.000160000000001,-29.49151,-3.8720669291338643,-344.4545669291339
760,-0.000160000000001,-29.49151,0.65519,-28.83615,3.8682874015747974,-344.4546850393701
780,-0.0001700000000042,-27.52542,1.31054,-26.87007,7.738405511810999,-321.23320866141734
800,0.65517999999999,-24.90397,0.65516,-22.93788,7.7382283464566335,-282.53061023622047
820,-0.0001999999999995,-20.97179,0.65516,-19.0057,3.867874015748034,-236.08753937007876
840,-0.0002100000000027,-17.69497,0.65514,-17.0396,3.8676968503936844,-205.12541338582682
860,-0.0002300000000019,-15.72888,-0.0002300000000019,-15.72888,-0.002716535433093307,-185.77417322834646
880,-0.65559,-15.72888,-0.0002300000000019,-15.72888,-3.8729527559055237,-185.77417322834646
900,-0.65559,-15.07352,-0.0002300000000019,-15.0735,-3.8729527559055237,-178.03358267716536
920,-0.65558,-14.41813,-0.0002100000000027,-14.41812,-3.8727755905511976,-170.29281496062993
940,-0.0001999999999995,-13.76276,1.31053,-13.76274,7.738169291338585,-162.55216535433073
960,-0.0001700000000042,-12.452,1.31056,-11.79662,7.738523622047219,-143.20051181102363
980,1.31057,-10.48588,2.6213,-9.8305,23.21970472440945,-119.97862204724409
1000,1.96596,-9.17513,2.62133,-8.51976,27.090295275590552,-104.49738188976379
1020,2.62133,-7.20903,3.2767,-7.20903,34.830885826771656,-85.14602362204725
1040,2.62134,-5.89831,3.2767,-5.89831,34.830944881889764,-69.66507874015748
1060,1.96597,-5.89832,2.62133,-5.24297,27.09035433070866,-65.79501968503936
1080,1.3106,-3.93224,2.62132,-4.5876,23.22,-50.3140157480315
1100,1.3106,-3.93225,1.96596,-3.93225,19.34976377952756,-46.443897637795274
1120,1.31061,-3.93225,1.96597,-5.24298,19.34988188976378,-54.18442913385827
1140,9.83038,-3.93227,23.5932,-3.93227,197.38334645669292,-46.44413385826772
1160,25.55937,-2.62155,24.24863,-1.31082,294.1417322834646,-23.22265748031496
1180,23.59327,1.31065,24.24864,1.96601,282.53096456692913,19.35035433070866
1200,23.59329,2.62139,24.24865,3.27675,282.53114173228346,34.83153543307087
1220,23.59328,3.93211,24.24865,3.93212,282.53108267716533,46.4423031496063
1240,23.59329,3.93212,23.59329,3.93212,278.66090551181105,46.44236220472441
1260,22.93792,3.93212,23.59328,3.93212,274.7905511811024,46.44236220472441
1280,22.93793,3.93212,23.59328,3.93212,274.7906102362205,46.44236220472441
1300,22.28256,4.58748,22.93792,4.58747,267.0500787401575,54.18277559055119
1320,22.28256,4.58747,23.59327,3.93209,270.9202559055118,50.312362204724415
1340,22.28256,4.58746,23.59327,3.93208,270.9202559055118,50.312244094488186
1360,22.28255,3.93207,20.31643,2.62135,251.56877952755906,38.70129921259843
1380,19.66107,2.62136,20.97181,3.27672,239.95795275590552,34.83118110236221
1400,20.97182,4.58746,21.62718,5.24283,251.56889763779526,58.0528937007874
1420,20.97182,4.58746,22.28254,4.58746,255.43913385826775,54.18259842519685
1440,21.62718,5.24282,22.28254,5.24282,259.3093700787402,61.923070866141735
1460,22.28255,5.89817,23.59327,5.89817,270.92019685039367,69.6634251968504
1480,22.93791,6.55353,23.59327,6.55353,274.79043307086613,77.40389763779528
1500,23.59328,7.20888,24.24864,6.55352,282.53102362204726,81.2740157480315
1520,23.59328,6.55351,24.24864,5.89814,282.53102362204726,73.53336614173229
1540,23.59328,5.24277,24.24865,3.93203,282.53108267716533,54.18188976377954
1560,23.59329,2.6213,24.24864,1.31055,282.53108267716533,23.219586614173227
1580,23.59328,1.31055,24.24865,1.31055,282.53108267716533,15.478937007874018
1600,23.59329,1.31055,24.24865,1.31055,282.53114173228346,15.478937007874018
1620,24.24865,1.31055,18.35032,-1.31091,251.56872047244096,-0.002125984251967323
1640,9.83053,-0.65551,9.83052,-0.0001200000000025,116.10856299212598,-3.8718307086614314
1660,9.83054,1.96598,10.48591,3.27672,119.97903543307086,30.960826771653544
1680,9.83055,3.9321,10.48591,3.9321,119.97909448818898,46.44212598425197
1700,9.83056,3.9321,10.48592,4.58746,119.97921259842519,50.312362204724415
1720,10.48592,5.24283,11.14129,5.24283,127.7197440944882,61.92318897637795
1740,10.48593,5.24284,11.1413,5.24284,127.71986220472442,61.92330708661418
