T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,0.0,-0.65536,0.0,-3.8702952755905278,0.0
40,-9.9999999960687e-06,-9.9999999960687e-06,-0.65537,-0.65536,-3.8703543307086377,-3.8702952755905278
60,-0.65537,-9.9999999960687e-06,-1.0000000003174e-05,0.0,-3.8703543307086803,-5.905511808701989e-05
80,-0.65537,0.65536,-0.65536,0.0,-7.740531496062992,3.8702362204724414
100,-9.9999999960687e-06,1.31072,-0.65536,0.65536,-3.8702952755905278,11.610708661417323
120,-0.65537,1.31073,-0.65536,0.65537,-7.740531496062992,11.610826771653544
140,-0.65537,1.31072,-1.31073,1.31073,-11.610826771653544,15.481003937007873
160,-1.31073,1.96609,-1.31072,1.31073,-15.481003937007873,19.351299212598423
180,-1.31073,1.96609,-1.96609,1.31074,-19.351299212598423,19.351358267716535
200,-1.31073,1.9661,-1.31073,1.31074,-15.481062992125985,19.351417322834646
220,-1.31074,1.96609,-1.31073,1.31073,-15.481122047244094,19.351299212598423
240,-0.65537,1.96609,-0.65536,1.9661,-7.740531496062992,23.221594488188977
260,-9.9999999960687e-06,1.96609,0.0,1.31073,-5.905511808701989e-05,19.351299212598423
280,-9.9999999960687e-06,1.96609,-1.0000000003174e-05,1.31073,-0.0001181102362160002,19.351299212598423
300,-9.9999999960687e-06,1.96609,0.0,1.96609,-5.905511808701989e-05,23.221535433070866
320,-1.9999999999243e-05,2.62145,0.0,1.96609,-0.00011811023621600198,27.091771653543308
340,-9.9999999960687e-06,2.62145,0.65535999999999,1.96609,3.8701771653542942,27.091771653543308
360,0.65536,2.62145,0.65535999999999,1.96609,7.740472440944823,27.091771653543308
380,0.65535,1.96609,1.31073,1.96609,11.610708661417323,23.221535433070866
400,0.65535,2.62145,-2.62147,2.62146,-11.610944881889765,30.96206692913386
420,-7.86443,3.93219,-8.5198,3.93219,-96.75726377952755,46.443188976377954
440,-7.86443,5.24291,-7.86443,4.58755,-92.88696850393701,58.05389763779528
460,-8.51979,3.93219,-8.51978,3.27682,-100.6273818897638,42.572893700787404
480,-7.86444,3.27682,-7.86442,3.27681,-92.88696850393701,38.70253937007874
500,-7.86443,3.27681,-7.86443,3.27681,-92.88696850393701,38.70248031496063
520,-7.86443,3.27681,-7.86442,2.62145,-92.8869094488189,34.83224409448819
540,-7.86443,3.27681,-8.51978,2.62145,-96.75714566929133,34.83224409448819
560,-7.86444,3.27681,-7.86442,2.62146,-92.88696850393701,34.832303149606304
580,-7.86443,3.27681,-7.86442,2.62145,-92.8869094488189,34.83224409448819
600,-7.86443,3.2768,-7.86441,2.62145,-92.88685039370078,34.83218503937008
620,-7.86443,3.27681,-7.86441,3.2768,-92.88685039370078,38.702421259842524
640,-7.86442,3.2768,-7.86442,2.62144,-92.88685039370078,34.832125984251974
660,-7.86443,3.27679,-7.86442,2.62143,-92.8869094488189,34.83200787401575
680,-7.86443,2.62143,-7.86443,2.62143,-92.88696850393701,30.96177165354331
700,-8.51979,3.27679,-8.51978,1.96607,-100.6273818897638,30.96177165354331
720,-8.5198,2.62142,-8.51979,2.62143,-100.62750000000001,30.9617125984252
740,-8.5198,3.27746,-8.51979,2.62143,-100.62750000000001,34.835964566929135
760,-9.17516,3.27678,-9.17515,2.62142,-108.36797244094488,34.83188976377953
780,-9.17516,3.27679,-9.17515,1.96606,-108.36797244094488,30.961712598425198
800,-9.17516,2.62142,-9.17515,1.96606,-108.36797244094488,27.091417322834648
820,-9.17516,2.62142,-9.83051,1.96606,-112.23820866141732,27.091417322834648
840,-9.83052,2.62142,-9.83051,1.96606,-116.10844488188977,27.091417322834648
860,-10.48588,1.96606,-9.83051,1.96606,-119.9786811023622,23.221181102362205
880,-5.24293,3.2768,-1.96607,3.27682,-42.57283464566929,38.70248031496063
900,-2.62143,3.93218,-2.62143,3.27683,-30.96177165354331,42.572893700787404
920,-3.2768,3.93218,-3.27679,3.93218,-38.7023031496063,46.44307086614173
940,-3.2768,3.27682,-3.27679,2.62146,-38.7023031496063,34.83236220472441
960,-3.27681,3.27682,-2.62144,2.62146,-34.83218503937008,34.83236220472441
980,-2.62144,3.27682,-2.62144,2.62146,-30.96188976377953,34.83236220472441
1000,-1.96609,2.62145,-1.96608,1.96609,-23.221476377952758,27.091771653543308
1020,-1.96609,2.62145,-1.96608,2.62146,-23.221476377952758,30.96206692913386
1040,-1.96608,3.27682,-1.96608,2.62146,-23.221417322834647,34.83236220472441
1060,-1.96608,3.27682,-1.31072,2.62146,-19.351181102362204,34.83236220472441
