T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,-9.9999999960687e-06,0.0,0.0,-5.905511808701989e-05,-5.905511808701989e-05
40,-0.65537,-9.9999999960687e-06,-0.65537,0.0,-7.740590551181103,-5.905511808701989e-05
60,-0.65537,-9.9999999960687e-06,0.0,0.0,-3.8702952755905513,-5.905511808701989e-05
80,-0.65537,-9.9999999960687e-06,-0.65536,-0.65536,-7.740531496062992,-3.8702952755905278
100,-1.31073,0.0,-0.65537,0.0,-11.610826771653544,0.0
120,-0.65538,-9.9999999960687e-06,-0.65537,0.0,-7.740649606299213,-5.905511808701989e-05
140,-0.65538,-9.9999999960687e-06,-0.65537,-0.65536,-7.740649606299213,-3.8702952755905278
160,-1.31074,-0.65537,-1.31073,-0.65536,-15.481122047244094,-7.740531496062992
180,-1.31074,-0.65537,-1.31074,-0.65537,-15.481181102362205,-7.740590551181103
200,-1.31074,-1.31073,-1.9661,-0.65537,-19.351417322834646,-11.610826771653544
220,-1.9661,-1.31074,-1.96609,-1.31073,-23.221594488188977,-15.481122047244094
240,-1.9661,-1.31074,-2.62146,-0.65537,-27.091889763779527,-11.610885826771653
260,-2.62147,-0.65537999999999,-2.62146,-0.65537,-30.96218503937008,-7.7406496062991526
280,-2.62147,-0.65537999999999,-2.62146,-0.65537,-30.96218503937008,-7.7406496062991526
300,-3.27682,-0.65537999999999,-2.62145,-0.65537,-34.832303149606304,-7.7406496062991526
320,-3.27682,-0.65537999999999,-3.27682,-1.0000000003174e-05,-38.70259842519685,-3.870413385826731
340,-3.27682,-0.65537999999999,-3.27681,-1.0000000003174e-05,-38.70253937007874,-3.870413385826731
360,-3.27682,-0.65539,-3.27681,-0.65538,-38.70253937007874,-7.740767716535434
380,-3.27682,-0.65539,-3.27681,-0.65538,-38.70253937007874,-7.740767716535434
400,-3.27682,-0.65537999999999,-3.27681,-0.65538,-38.70253937007874,-7.740708661417264
420,-3.27681,-1.31075,9.17516,1.31072,34.832775590551186,-0.00017716535433055802
440,20.97184,1.9661,17.69503,1.31074,228.34765748031498,19.351417322834646
460,16.3843,1.9661,16.3843,1.31075,193.51535433070867,19.351476377952757
